Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
what is a landing page conversion,8,0,33100,51,0.00,informational,https://www.cloudways.com/blog/high-converting-landing-pages/,728,2.12,0.00,0,20,"0, 0, 0, 0, 1, 0, 1, 0, 0, 81, 36, 100",2026-07-22,Organic,,
cloud hosting services,1,0,2400,79,10.65,informational,https://www.cloudways.com/en/,470,1.36,5005.00,0.16,123,"13, 16, 19, 19, 16, 16, 13, 10, 8, 13, 13, 16",2026-07-20,AI overview,,
rackspace email,7,0,49500,63,9.98,navigational,https://support.cloudways.com/en/articles/5133515-how-to-use-rackspace-email-add-on,396,1.15,3952.00,0.01,0,"81, 81, 81, 81, 81, 81, 66, 81, 81, 81, 81, 66",2026-07-20,Organic,,
cloudway,1,1,590,67,8.12,informational,https://www.cloudways.com/en/,254,1.37,3832.00,0.09,119,"20, 34, 44, 55, 30, 8, 5, 13, 5, 7, 2, 13",2026-07-17,Organic,Image pack,
clopudways,1,1,1300,79,28.21,"navigational, transactional",https://www.cloudways.com/en/,-240,3.03,29338.00,0.49,0,"55, 0, 4, 100, 65, 82, 100, 65, 16, 44, 0, 0",2026-07-03,Organic,,
dropshipping,28,0,673000,79,3.95,"commercial, informational",https://www.cloudways.com/blog/what-is-dropshipping/,201,0.58,793.00,0.27,108,"1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 44, 100",2026-07-18,Organic,,
cloud based hosting services,1,0,880,81,10.65,"commercial, informational",https://www.cloudways.com/en/,172,0.5,1831.00,0.16,20,"44, 44, 11, 13, 7, 20, 11, 34, 24, 34, 65, 44",2026-07-23,AI overview,,
cloudwats,1,1,320,58,28.21,navigational,https://www.cloudways.com/en/,168,0.74,7221.00,0.49,0,"1, 0, 0, 1, 0, 16, 55, 0, 0, 0, 100, 55",2026-07-08,Organic,Knowledge panel,
cloudways,0,1,12100,75,55.26,navigational,https://www.cloudways.com/en/,-157,0,0.00,0.46,0,"44, 54, 44, 44, 36, 44, 36, 36, 100, 54, 44, 54",2026-06-30,People also ask,,
rackspace webmail,10,19,33100,68,11.89,navigational,https://support.cloudways.com/en/articles/5131511-how-to-configure-my-email-client-with-rackspace-mailbox,146,0.48,1961.00,0.01,0,"36, 36, 36, 30, 30, 36, 24, 24, 24, 24, 24, 24",2026-07-21,Organic,,
codeigniter 404,0,7,12100,11,0.00,informational,https://www.cloudways.com/blog/custom-codeigniter-404-not-found-page/,-133,0,0.00,0.33,108,"24, 10, 10, 0, 3, 29, 54, 66, 81, 54, 81, 100",2026-06-27,People also ask,,
managed wordpress hosting,0,7,5400,73,26.96,informational,https://www.cloudways.com/en/managed-wordpress-hosting.php,-129,0,0.00,0.05,151,"54, 66, 81, 81, 81, 81, 81, 81, 81, 100, 100, 100",2026-07-06,Organic,,
this site can't be reached,0,2,5400,20,0.81,informational,https://www.cloudways.com/blog/fix-this-site-cant-be-reached-error/,-118,0,0.00,0.01,105,"81, 81, 66, 100, 81, 81, 81, 54, 23, 44, 35, 35",2026-06-30,People also ask,,
what is a pitch deck,1,4,2900,48,1.65,informational,https://www.cloudways.com/blog/startup-pitch-deck/,115,0.37,209.00,0.06,20,"81, 54, 65, 65, 65, 65, 81, 54, 65, 65, 65, 65",2026-07-19,Image pack,,Video Carousel
magento hosting,1,0,1900,53,17.25,informational,https://www.cloudways.com/en/magento-hosting.php,115,0.33,1983.00,0.04,124,"66, 66, 44, 52, 52, 44, 44, 66, 52, 44, 44, 44",2026-07-22,AI overview,,
migrating magento from a cpanel host to cloudways,1,0,140,27,0.00,informational,https://support.cloudways.com/en/articles/5127272-migrating-magento-from-a-cpanel-host-to-cloudways,112,0.32,0.00,0,150,100,2026-07-15,Organic,,
cloudways,1,0,12100,79,28.21,navigational,https://www.cloudways.com/en/pricing.php,108,0.31,3046.00,0.49,0,"54, 44, 44, 36, 44, 36, 36, 100, 54, 44, 54, 54",2026-07-21,People also ask,,
codeigniter 404,5,12,14800,16,0.00,informational,https://www.cloudways.com/blog/custom-codeigniter-404-not-found-page/,100,0.34,0.00,0.33,20,"8, 8, 0, 2, 24, 44, 54, 67, 44, 67, 81, 100",2026-07-18,Organic,,"Video Carousel, People also ask"
managed cloud hosting,1,0,1600,54,13.72,informational,https://www.cloudways.com/en/,97,0.28,1330.00,0.08,151,"55, 44, 65, 65, 55, 55, 55, 65, 34, 34, 55, 100",2026-07-12,AI overview,,
err_blocked_by_response,5,3,1300,29,0.87,informational,https://www.cloudways.com/blog/err-blocked-by-response/,-95,0.02,7.00,0.04,58,"44, 44, 44, 44, 55, 44, 44, 44, 44, 34, 44, 65",2026-07-05,Organic,"Video Carousel, Discussions and forums",AI overview
cloudways pricing,1,1,590,44,27.80,transactional,https://www.cloudways.com/en/pricing.php,88,1.37,13121.00,0.32,89,"30, 30, 30, 30, 24, 8, 8, 8, 16, 13, 10, 79",2026-07-06,Organic,,
clloudways,1,1,320,62,28.21,"navigational, transactional",https://www.cloudways.com/en/,88,0.74,7221.00,0.49,0,"0, 0, 7, 0, 52, 46, 0, 0, 25, 0, 52, 0",2026-07-04,Organic,,Video Carousel
err_http2_protocol_error,6,19,3600,31,0.55,informational,https://www.cloudways.com/blog/err_http2_protocol_error/,81,0.25,47.00,0.01,20,"100, 81, 81, 81, 81, 100, 100, 65, 54, 54, 65, 81",2026-07-18,Organic,,Video Carousel
live price comparison,13,50,18100,69,0.51,transactional,https://www.cloudways.com/blog/price-comparison-websites/,71,0.2,36.00,0.07,123,"44, 29, 0, 3, 20, 13, 36, 36, 54, 36, 44, 54",2026-07-18,Organic,,
cloudways coupons,1,1,210,27,8.10,transactional,https://www.cloudways.com/en/promo-code.php,-67,0.01,40.00,0.02,91,"6, 3, 5, 6, 2, 6, 8, 3, 2, 6, 16, 100",2026-07-04,Organic,,"Ads middle, AI overview"
wordpress agency,6,11,2400,31,26.20,informational,https://www.cloudways.com/blog/wordpress-agencies/,65,0.2,1886.00,0.25,43,"65, 54, 65, 65, 43, 43, 43, 100, 54, 43, 54, 43",2026-07-19,Organic,"People also ask, AI overview","Local pack, Video Carousel"
best coding youtube channels,8,18,27100,29,0.00,commercial,https://www.cloudways.com/blog/best-youtube-channels-to-learn-programming/,63,0.23,0.00,0.01,103,"0, 0, 0, 0, 36, 0, 13, 44, 100, 54, 0, 10",2026-07-23,Organic,,Short videos
cloudways promo code 2026,1,0,320,22,127.33,transactional,https://www.cloudways.com/en/promo-code.php,62,0.18,7894.00,0.07,78,"0, 1, 2, 2, 100",2026-07-20,AI overview,,
cloudways managed cloud hosting,1,1,110,54,0.00,"commercial, navigational",https://www.cloudways.com/en/,56,0.25,0.00,0.33,128,"23, 2, 17, 28, 5, 5, 28, 5, 28, 66, 100, 66",2026-06-30,Organic,"People also ask, Ads middle",Discussions and forums
clouways,1,1,210,75,28.21,"navigational, transactional",https://www.cloudways.com/en/,56,0.48,4739.00,0.49,0,"13, 1, 1, 1, 0, 0, 30, 0, 0, 0, 100, 3",2026-07-22,Organic,AI overview,Knowledge panel
wordpress 6.7 release news,24,5,2400,28,0.00,informational,https://www.cloudways.com/blog/wordpress-6-7/,-52,0,0.00,0,129,"0, 13, 36, 100, 29, 1, 0, 0, 0",2026-07-21,Organic,,Video Carousel
err_tunnel_connection_failed,0,1,1600,19,0.00,informational,https://www.cloudways.com/blog/err_tunnel_connection_failed/,-52,0,0.00,0,117,"66, 66, 66, 79, 79, 66, 66, 66, 66, 66, 41, 54",2026-07-20,People also ask,,
ecommerce hosting,0,7,1600,59,10.90,commercial,https://www.cloudways.com/en/ecommerce-hosting,-48,0,0.00,0.12,141,"29, 29, 65, 43, 36, 43, 36, 36, 29, 16, 13, 22",2026-07-18,Organic,,
recent version of php,1,1,1000,62,0.00,informational,https://www.cloudways.com/blog/php-version-history/,47,0.19,0.00,0.33,128,"81, 62, 6, 45, 81, 62, 62, 62, 62, 62, 62, 62",2026-06-28,People also ask,,Video Carousel
cloudwaysapps,1,1,70,19,25.54,commercial,https://www.cloudways.com/en/,-47,0.02,229.00,0.46,117,"42, 33, 33, 33, 33, 23, 33, 9, 80, 9, 9, 23",2026-06-27,Organic,AI overview,
