Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,kloudbean.com,heroku.com,kloudbean.com (pages),heroku.com (pages),Results
postgresql,Navigational,60500,100,4.90,0.27,0,21,,https://www.heroku.com/postgres/,0
heroku deploy,Navigational,40500,71,10.97,0.05,0,1,,https://devcenter.heroku.com/articles/git,107
heroku,Navigational,22200,57,7.79,0.05,0,1,,https://www.heroku.com/,0
litcharts,Navigational,22200,30,2.52,0.33,0,3,,https://www.heroku.com/customers/litcharts/,0
postgres,Navigational,22200,100,4.90,0.27,0,8,,https://www.heroku.com/postgres/,109
yarn workspaces,Informational,22200,40,0.00,0.33,0,21,,https://www.heroku.com/blog/building-a-monorepo-with-yarn-2/,104
11.0.12,Informational,18100,20,0.00,0.33,0,19,,https://devcenter.heroku.com/changelog-items/2214,168
lit charts,Navigational,18100,34,2.52,0.33,0,6,,https://www.heroku.com/customers/litcharts/,0
cloudinary,Navigational,14800,62,3.89,0.32,0,12,,https://elements.heroku.com/addons/cloudinary,0
pgsql,Navigational,14800,100,4.90,0.27,0,20,,https://www.heroku.com/postgres/,107
11.0.14,Informational,12100,22,0.00,0.33,0,18,,https://devcenter.heroku.com/changelog-items/2348,44900
11.0.2,Informational,12100,32,0.00,0.33,0,25,,https://devcenter.heroku.com/changelog-items/1546,167
15.0.3,Informational,9900,17,0.00,0.33,0,36,,https://devcenter.heroku.com/changelog-items/2136,1470000
cipher decoder,Commercial,9900,62,0.00,0.33,16,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,117
8.0.15,Informational,8100,21,0.00,0.33,0,46,,https://devcenter.heroku.com/changelog-items/3184,163000
9.0 8,Informational,8100,25,0.00,0.33,0,9,,https://devcenter.heroku.com/changelog-items/3488,168
11.0.16,Informational,6600,25,6.47,0.33,0,22,,https://devcenter.heroku.com/changelog-items/2449,68100
hex to ascii,Informational,6600,24,0.00,0.33,11,0,https://www.kloudbean.com/hex-to-ascii-converter/,,99
huruko,Informational,6600,35,7.79,0.05,0,1,,https://www.heroku.com/,67
8.0 8.0,Informational,5400,50,11.49,0.01,0,6,,https://devcenter.heroku.com/changelog-items/3425,169
8.0.20,Informational,5400,32,0.00,0.33,0,24,,https://devcenter.heroku.com/changelog-items/3392,174
8.0.25,Informational,5400,28,0.00,0.33,0,17,,https://devcenter.heroku.com/changelog-items/3621,174
9.0.13,Informational,5400,24,0.00,0.33,0,52,,https://devcenter.heroku.com/changelog-items/3595,111000
caesar cryptography decoder,Informational,5400,58,0.00,0.33,16,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,119
caesar shift decrypter,"Commercial, Informational",5400,48,0.00,0.33,26,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,121
cesarean cipher decoder,Informational,5400,47,0.00,0.33,19,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,121
dotnet 10,Informational,5400,85,0.00,0.00,0,7,,https://www.heroku.com/blog/support-for-dotnet-10-lts-what-developers-need-know/,126
error establishing a database connection,Informational,5400,31,0.53,0.07,20,0,https://www.kloudbean.com/how-to-resolve-the-error-establishing-a-database-connection-issue-in-wordpress-with-kloudbean-hosting/,,37
sendgrid pricing,Transactional,5400,24,6.15,0.53,0,15,,https://elements.heroku.com/addons/sendgrid,40
11.0.9,Informational,4400,13,1.14,0.33,0,71,,https://devcenter.heroku.com/changelog-items/1942,77000
coralogix,Navigational,4400,62,4.27,0.19,0,5,,https://elements.heroku.com/addons/coralogix,0
shift cipher decoder,Informational,4400,36,0.00,0.33,22,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,116
.net 10 release date,Informational,3600,64,0.00,0.33,0,10,,https://www.heroku.com/blog/support-for-dotnet-10-lts-what-developers-need-know/,104
11.0 14,Informational,3600,22,0.00,0.33,0,14,,https://devcenter.heroku.com/changelog-items/2361,160
505 error,Informational,3600,17,0.00,0.33,16,0,https://www.kloudbean.com/how-to-fix-error-505/,,108
ciphertext decoder,Commercial,3600,65,0.00,0.33,8,0,https://www.kloudbean.com/caesar-cipher-encoder-decoder/,,122
dyno.gg,Navigational,3600,36,0.00,0.33,0,22,,https://devcenter.heroku.com/articles/dyno-sizes,0
fastify,Navigational,3600,49,5.72,0.33,0,23,,https://www.heroku.com/blog/build-openapi-apis-nodejs-fastify/,0
gunicorn,Navigational,3600,47,0.00,0.33,0,8,,https://devcenter.heroku.com/articles/python-gunicorn,106
heroku check environment variables,Informational,3600,37,0.00,0.33,0,1,,https://devcenter.heroku.com/articles/config-vars,10
kubecon,Informational,3600,51,3.56,0.04,0,19,,https://www.heroku.com/events/2025/kubecon-cloudnativecon-north-america-2025/,107
postgres database,Navigational,3600,73,6.51,0.24,0,19,,https://www.heroku.com/postgres/,107
python 3.10.6,Informational,3600,35,0.00,0.01,0,34,,https://devcenter.heroku.com/changelog-items/2452,56900
reinvent 2025,Informational,3600,60,0.00,0.33,0,26,,https://www.heroku.com/events/2025/aws-reinvent/,109
3.6/4,Informational,2900,19,0.00,0.33,0,82,,https://devcenter.heroku.com/changelog-items/1350,0
413 error,Informational,2900,26,0.00,0.33,50,0,https://www.kloudbean.com/how-to-fix-the-413-request-entity-too-large-error-in-wordpress-the-7-easiest-ways/,,114
dedup-test,"Commercial, Informational",2900,29,0.00,0.13,0,14,,https://devcenter.heroku.com/articles/dedup,125
error code -36,Informational,2900,34,0.00,0.00,0,11,,https://devcenter.heroku.com/articles/error-codes,1280000000
postgres db,Navigational,2900,92,6.51,0.24,0,23,,https://www.heroku.com/postgres/,106
regex generator,Informational,2900,46,8.96,0.01,46,0,https://www.kloudbean.com/regex-pattern-generator/,,115
sendgrid.com,Informational,2900,65,19.63,0.20,0,67,,https://devcenter.heroku.com/articles/sendgrid,140000
toml,"Informational, Navigational",2900,80,0.00,0.33,0,8,,https://www.heroku.com/blog/why-buildpacks-use-toml/,108
192.168.1.256,Commercial,2400,14,0.00,0.33,28,0,https://www.kloudbean.com/regex-for-ip-address-validation/,,3840
