URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://devcenter.heroku.com/articles/git,35.68,95,32630,0,0,27,8,5,0,0,229,32404,56,0,31838,"gemini, google, google-ai, search-gpt",heroku deploy,Informational,17
https://www.heroku.com/,29.64,484,27113,0,17,182,158,51,0,27,1739,25606,180,0,-309,"gemini, google, google-ai, search-gpt",heroku,Informational,67
https://devcenter.heroku.com/articles/config-vars,5.18,25,4739,0,0,10,5,1,0,0,4299,504,0,0,3394,"gemini, google, google-ai, search-gpt",heroku check environment variables,Informational,4
https://status.heroku.com/,3.23,114,2958,0,1,8,24,6,0,32,52,2874,114,0,71,search-gpt,heroku status,Navigational,3
https://www.heroku.com/pricing/,1.24,199,1135,0,3,52,58,55,0,5,263,818,1048,0,-307,"gemini, google, google-ai, search-gpt",heroku pricing,Navigational,20
https://devcenter.heroku.com/categories/deployment,1.18,77,1083,0,0,10,5,2,0,0,20,1069,0,0,125,"google, search-gpt",heroku deploy,Informational,5
https://devcenter.heroku.com/articles/heroku-cli,1.15,100,1052,0,0,36,18,22,0,0,834,223,231,0,1,"gemini, google, google-ai, search-gpt",brew install heroku,Informational,40
https://id.heroku.com/,1.09,113,1001,0,0,8,27,17,0,0,0,1001,1001,0,295,"google, google-ai",heroku.com login,Navigational,5
https://www.heroku.com/postgres/,0.9,330,824,0,13,108,82,22,0,4,497,444,278,0,-121,"google, google-ai, search-gpt",postgres on heroku,Informational,31
https://devcenter.heroku.com/articles/logging,0.83,53,761,0,0,24,4,3,0,0,760,113,1,0,82,"gemini, google, google-ai, search-gpt",heroku logs,Informational,23
https://help.heroku.com/PBGP6IDE/how-should-i-generate-an-api-key-that-allows-me-to-use-the-heroku-platform-api,0.77,6,706,0,0,4,1,0,0,0,130,576,0,0,578,"gemini, google, google-ai, search-gpt",heroku api token,Informational,9
https://devcenter.heroku.com/articles/ssl-certificate-self,0.67,227,617,0,0,132,0,0,0,0,617,0,0,0,-3,"google, google-ai",self signed certificate in certificate,Informational,29
https://elements.heroku.com/addons/heroku-postgresql,0.67,48,616,0,0,10,29,25,0,0,57,616,558,0,69,"gemini, google, google-ai",heroku postgres pricing,Navigational,10
https://www.heroku.com/go/,0.63,110,583,0,1,12,12,3,0,5,5,573,4,0,393,"google, google-ai, search-gpt",heroku deploy,"Navigational, Informational",11
https://devcenter.heroku.com/articles/pipelines,0.52,29,476,0,1,16,2,2,0,0,476,0,0,0,23,google,heroku pipelines,Informational,1
https://www.heroku.com/github-students/,0.5,117,463,0,0,10,79,36,0,0,126,320,246,0,4,google,heroku github,Navigational,1
https://devcenter.heroku.com/categories/deploying-with-docker,0.5,36,460,0,1,18,3,1,0,4,420,35,40,0,8,"google, google-ai, search-gpt",heroku docker,Informational,15
https://devcenter.heroku.com/articles/maintenance-mode,0.47,17,433,0,1,5,0,3,0,9,433,0,424,0,309,"google, google-ai, search-gpt",maintenance mode heroku,Informational,10
https://devcenter.heroku.com/articles/authentication,0.43,35,402,0,0,6,10,9,0,0,161,242,227,0,384,"gemini, google, search-gpt",heroku login,Navigational,8
https://www.heroku.com/dynos/,0.35,51,328,0,0,3,7,5,0,0,79,249,161,0,50,"google, google-ai",heroku dyno,Navigational,6
https://www.heroku.com/customers/litcharts/,0.34,26,312,0,0,4,19,2,0,0,15,308,0,0,106,,litcharts,Navigational,0
https://www.heroku.com/ruby/,0.3,74,278,0,6,42,3,1,0,4,146,128,88,0,-22,"google, search-gpt",heroku rails,Informational,16
https://devcenter.heroku.com/articles/custom-domains,0.27,65,255,0,6,20,0,0,0,34,223,0,0,0,25,"google, google-ai, search-gpt",heroku custom domain,Informational,11
https://www.heroku.com/connect/,0.22,31,210,0,0,9,8,3,0,0,210,210,0,0,198,"gemini, google, search-gpt",heroku connect,Informational,7
https://dashboard.heroku.com/apps,0.22,2,208,0,0,0,1,1,0,0,0,208,208,0,-53,,heroku dashboard,"Transactional, Navigational",0
https://devcenter.heroku.com/articles/http-request-id,0.22,12,207,0,0,11,0,0,0,0,207,0,0,0,38,"google, google-ai, search-gpt",request id,Informational,9
https://www.heroku.com/blog/new-low-cost-plans/,0.21,53,195,0,0,11,15,18,0,0,14,183,184,0,-3,"google, google-ai, search-gpt",heroku pricing,Transactional,10
https://devcenter.heroku.com/changelog-items/3488,0.21,1,194,0,0,1,0,0,0,0,194,0,0,0,168,,9.0 8,Informational,0
https://www.heroku.com/blog/why-buildpacks-use-toml/,0.2,34,192,0,3,30,5,0,0,5,186,12,0,0,164,"google, google-ai",what is toml file,Informational,11
https://devcenter.heroku.com/articles/heroku-postgresql,0.2,28,189,0,0,10,13,10,0,0,37,185,153,0,-30,"gemini, google, google-ai, search-gpt",heroku pg,Navigational,11
https://www.heroku.com/salesforce/,0.2,80,185,0,0,8,7,0,0,0,106,79,0,0,43,"gemini, google, google-ai",heroku salesforce,Informational,12
https://www.heroku.com/nodejs/,0.19,111,181,0,16,45,7,6,0,32,156,3,2,0,-21,"gemini, google, google-ai, search-gpt",nodejs hosting,Informational,21
https://devcenter.heroku.com/articles/ormongo,0.18,4,168,0,0,3,0,0,0,0,168,0,0,0,0,"google, google-ai, search-gpt",heroku mongodb,Informational,4
https://elements.heroku.com/addons/heroku-key-value-store,0.18,24,168,0,0,0,4,3,0,0,0,168,168,0,134,google,heroku redis,Navigational,4
https://devcenter.heroku.com/articles/scheduler,0.18,4,168,0,0,0,1,0,0,0,0,168,0,0,32,,heroku scheduler,Navigational,0
https://devcenter.heroku.com/start,0.18,63,168,0,0,1,6,5,0,0,0,168,56,0,24,search-gpt,heroku tutorial,Navigational,1
https://devcenter.heroku.com/articles/ssl,0.18,20,168,0,0,2,2,1,0,0,0,168,56,0,0,"google, google-ai, search-gpt",heroku ssl,"Navigational, Informational",5
https://www.heroku.com/blog/category/news/,0.17,23,163,0,0,3,4,4,0,0,51,112,112,0,119,,heroku updates,"Transactional, Navigational",0
https://www.heroku.com/deploy-with-docker/,0.17,56,156,0,12,36,1,2,0,26,132,0,1,0,1,"google, search-gpt",container hosting,Informational,15
https://devcenter.heroku.com/articles/getting-started-with-nodejs,0.16,42,150,0,0,9,4,7,0,0,78,128,40,0,0,"gemini, google, google-ai, search-gpt",heroku node,Informational,17
https://www.heroku.com/compliance/,0.15,14,145,0,0,1,3,1,0,0,1,144,32,0,8,,heroku hipaa,Navigational,0
https://devcenter.heroku.com/articles/app-json-schema,0.15,18,141,0,0,14,4,2,0,0,141,0,56,0,25,,heroku app.json,Informational,0
https://devcenter.heroku.com/articles/buildpacks,0.15,27,138,0,0,1,9,1,0,0,0,138,32,0,-17,search-gpt,heroku buildpack,Navigational,4
https://help.heroku.com/,0.15,60,138,0,0,0,6,2,0,0,0,138,0,0,0,search-gpt,heroku support,Navigational,7
https://devcenter.heroku.com/changelog-items/3425,0.15,3,138,0,0,2,0,0,0,0,138,0,0,0,0,,8.0 8.0,Informational,0
https://www.heroku.com/ai/,0.14,27,137,0,0,2,3,2,0,0,1,136,136,0,-2,google,heroku ai,Navigational,5
https://www.heroku.com/students/,0.14,120,130,0,2,32,31,34,0,0,60,66,45,0,36,google,heroku deploy,Transactional,5
https://www.heroku.com/about/,0.14,43,129,0,0,12,3,0,0,0,129,4,0,0,116,"google, google-ai, search-gpt",huruko,Informational,11
https://devcenter.heroku.com/articles/getting-started-with-python,0.12,28,114,0,0,11,0,1,0,0,112,0,0,0,2,"gemini, google, google-ai, search-gpt",heroku python,Informational,14
https://www.heroku.com/blog/,0.12,92,113,0,0,3,8,6,0,0,24,89,89,0,2,,heroku blog,Navigational,0
https://www.heroku.com/blog/heroku-postgres-17-new-upgrade-process-faster-performance-easier-upgrade/,0.12,6,112,0,0,1,4,5,0,0,0,112,112,0,0,,heroku postgres news,Transactional,0
https://elements.heroku.com/buildpacks/heroku/heroku-buildpack-static,0.12,12,112,0,0,2,0,0,0,0,112,0,0,0,56,,heroku static site,Informational,0
https://signup.heroku.com/,0.11,47,109,0,1,6,15,15,0,0,3,106,109,0,-2,"google, search-gpt",heroku sign up,"Transactional, Navigational",4
https://www.heroku.com/java/,0.11,34,108,0,4,15,2,2,0,1,19,88,0,0,-4,google,heroku java,Informational,4
https://www.heroku.com/careers/,0.11,46,105,0,5,8,5,2,0,103,16,1,0,0,4,,heroku careers,Informational,0
https://www.heroku.com/blog/support-for-dotnet-10-lts-what-developers-need-know/,0.11,52,103,0,0,49,4,1,0,0,103,0,12,0,-38,google,dotnet 10,Informational,12
https://devcenter.heroku.com/articles/heroku-local,0.11,34,103,0,0,8,3,0,0,0,99,4,0,0,33,google,heroku check environment variables,Informational,3
https://devcenter.heroku.com/articles/procfile,0.11,11,102,0,4,11,0,4,0,59,102,0,32,0,-9,"google, google-ai, search-gpt",procfile,Informational,13
