Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
heroku,1,1,22200,69,18.59,navigational,https://www.heroku.com/,-3920,32.34,330158.00,0.15,0,"44, 36, 44, 30, 30, 30, 36, 24, 24, 24, 36, 24",2026-06-25,Organic,People also ask,
heroku login,1,1,1900,69,8.20,"navigational, transactional",https://id.heroku.com/,-1471,0.08,401.00,0.01,107,"66, 80, 52, 52, 66, 66, 52, 52, 52, 44, 44, 52",2026-06-30,Organic,"People also ask, AI overview",
heroku check environment variables,1,1,2900,27,0.00,"informational, navigational",https://devcenter.heroku.com/articles/config-vars,-748,0.09,0.00,0.33,108,"4, 4, 2, 0, 0, 8, 10, 36, 36, 29, 54, 100",2026-06-25,Organic,People also ask,
heroku environment variables,1,1,1600,30,0.00,informational,https://devcenter.heroku.com/articles/config-vars,704,2.33,0.00,0.33,104,"7, 4, 4, 4, 27, 27, 52, 52, 66, 52, 80, 100",2026-06-26,Organic,"People also ask, AI overview",
heroku cli,1,1,590,64,11.35,informational,https://devcenter.heroku.com/articles/heroku-cli,-689,0.02,170.00,0.02,122,"24, 16, 20, 16, 13, 20, 16, 10, 13, 13, 10, 13",2026-06-12,Organic,,
sendgrid,0,11,49500,61,5.41,navigational,https://elements.heroku.com/addons/sendgrid,-643,0,0.00,0.51,133,"66, 66, 100, 66, 81, 66, 81, 66, 66, 66, 66, 66",2026-03-15,Organic,,
heruko,1,1,480,59,18.59,navigational,https://www.heroku.com/,-585,0.21,2212.00,0.15,154,"34, 16, 8, 13, 16, 11, 24, 24, 11, 24, 13, 3",2026-06-02,Organic,,Knowledge panel
10.0.5.0,3,0,12100,16,0.00,informational,https://devcenter.heroku.com/changelog-items/3640,532,0.96,0.00,0.33,515000,"0, 0, 0, 0, 0, 100, 100, 100, 0, 100, 100, 100",2026-06-29,Organic,,
maintenance mode heroku,2,1,720,24,0.00,informational,https://devcenter.heroku.com/articles/maintenance-mode,-517,0.1,0.00,0,105,"7, 68, 68, 84, 52, 100, 8, 3, 16, 13, 20, 20",2026-05-27,Organic,"Discussions and forums, AI overview","Video Carousel, Related searches"
heroku deploy,1,0,22200,62,11.24,"informational, navigational",https://devcenter.heroku.com/categories/deployment,497,0.9,5586.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-06-25,AI overview,,
heroku deploy,1,1,22200,62,11.24,"informational, navigational",https://devcenter.heroku.com/articles/git,489,1.05,6485.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-06-25,Organic,"People also ask, AI overview",
heroku news,1,1,2400,50,0.00,informational,https://www.heroku.com/blog/,-462,0.01,0.00,0.33,109,"0, 1, 0, 0, 54, 100, 0, 36, 0, 4, 0, 1",2026-06-26,AI overview,People also ask,See results about
heroku deploy,2,2,22200,62,11.24,"informational, navigational",https://devcenter.heroku.com/categories/deployment,397,0.72,4484.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-06-25,Organic,"People also ask, AI overview",
heroku.com login,0,1,480,41,0.00,"navigational, transactional",https://dashboard.heroku.com/login,-384,0,0.00,0.02,0,"1, 0, 0, 0, 0, 0, 100, 1, 44, 1, 1, 1",2026-03-15,Organic,,
heroku.com login,1,2,480,65,0.00,"navigational, transactional",https://id.heroku.com/,372,0.69,0.00,0.01,107,"0, 0, 100, 1, 44, 1, 1, 1, 1, 0, 1, 1",2026-06-28,Organic,"People also ask, AI overview",
heroku deploy,3,5,22200,62,11.24,"informational, navigational",https://www.heroku.com/,309,0.56,3484.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-06-25,Organic,"People also ask, AI overview",
huruko,1,1,5400,45,18.59,informational,https://www.heroku.com/,299,2.43,24892.00,0.15,12600,"0, 0, 0, 0, 0, 0, 0, 0, 66, 66, 100, 81",2026-06-24,Organic,"People also ask, AI overview",Video Carousel
heroku pricing,1,1,1300,50,8.04,"navigational, transactional",https://www.heroku.com/pricing/,289,0.58,2588.00,0.12,102,"66, 79, 54, 41, 54, 66, 66, 54, 41, 41, 36, 30",2026-06-11,Organic,,AI overview
herokuapp,1,1,1300,44,15.20,"informational, navigational",https://www.heroku.com/,-289,0.06,501.00,0.21,133,"24, 24, 15, 15, 19, 19, 19, 15, 15, 19, 15, 15",2026-06-09,Organic,AI overview,
heroku postgres,1,1,390,41,8.41,"informational, navigational",https://www.heroku.com/postgres/,-261,0.09,428.00,0.12,108,"30, 30, 36, 30, 24, 24, 36, 30, 30, 30, 24, 20",2026-06-07,Organic,,
herokuapp,1,0,1300,44,15.20,"informational, navigational",https://www.heroku.com/,254,0.46,3860.00,0.21,133,"24, 24, 15, 15, 19, 19, 19, 15, 15, 19, 15, 15",2026-06-09,AI overview,,
heroku status,1,1,1600,46,0.00,navigational,https://status.heroku.com/,240,2.33,0.00,0.33,96,"5, 7, 100, 8, 10, 10, 35, 8, 12, 16, 19, 8",2026-05-29,Organic,,
lit charts,4,3,18100,29,2.52,navigational,https://www.heroku.com/customers/litcharts/,-217,0.19,272.00,0.33,0,"54, 16, 16, 44, 81, 67, 81, 67, 44, 100, 81, 81",2026-06-28,Organic,"Video Carousel, People also ask",
heroku docker,1,3,260,41,0.00,informational,https://devcenter.heroku.com/categories/deploying-with-docker,206,0.37,0.00,0.03,108,"29, 29, 23, 29, 29, 29, 36, 23, 100, 81, 36, 12",2026-06-16,Organic,Video Carousel,
heruku,1,1,480,60,7.79,navigational,https://www.heroku.com/,-192,0.69,2991.00,0.05,0,"62, 16, 62, 100, 45, 30, 3, 3, 13, 3, 2, 2",2026-06-29,Organic,"Video Carousel, People also ask",
heroku maintenance mode,3,1,260,26,0.00,informational,https://devcenter.heroku.com/articles/maintenance-mode,-187,0.03,0.00,0,101,"26, 17, 72, 88, 26, 17, 9, 7, 14, 11, 7, 11",2026-05-23,Organic,"People also ask, Discussions and forums",
heroki,1,1,320,57,18.59,navigational,https://www.heroku.com/,-177,0.14,1468.00,0.15,152,"55, 13, 20, 16, 8, 45, 30, 10, 24, 36, 24, 10",2026-05-30,Organic,,"Image pack, Video Carousel"
heroku logs,1,1,480,37,0.00,informational,https://devcenter.heroku.com/articles/logging,176,0.69,0.00,0.03,107,"21, 21, 26, 32, 39, 39, 32, 26, 59, 100, 59, 72",2026-06-23,Organic,,
heroku deploy,5,3,22200,62,11.24,"informational, navigational",https://www.heroku.com/go/,176,0.32,1989.00,0.16,107,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-06-25,Organic,"People also ask, AI overview",
heroku.,1,1,260,60,18.59,navigational,https://www.heroku.com/,176,0.37,3866.00,0.15,0,"0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 16, 22",2026-06-17,Organic,,"Knowledge panel, Top stories"
.net 10,2,0,5400,58,2.66,informational,https://www.heroku.com/blog/support-for-dotnet-10-lts-what-developers-need-know/,175,0.31,465.00,0.21,126,"44, 44, 54, 16, 100, 29, 100, 44, 54, 44, 54, 44",2026-06-29,People also ask,,
