URL,Traffic,Traffic (%),Number of Keywords
devcenter.heroku.com,49211,53.814861392093604,7194
www.heroku.com,35229,38.52479632566023,5877
status.heroku.com,2958,3.234731259226858,148
elements.heroku.com,1546,1.6906337142544698,1060
help.heroku.com,1143,1.2499316529061184,702
id.heroku.com,1001,1.0946470556071957,113
dashboard.heroku.com,208,0.22745912843785882,4
signup.heroku.com,109,0.11919733172945488,112
vibes.heroku.com,22,0.024058177046311992,2
www2.heroku.com,18,0.01968396303789163,12
addons-next.heroku.com,0,0,2
aistudio.heroku.com,0,0,2
cli-assets.heroku.com,0,0,10
cli-auth.heroku.com,0,0,13
exec-manager.heroku.com,0,0,1
