Domain,Domain ascore,kinsta.com,kloudbean.com,Matches
adobe.com,100,22,0,1
amazon.com,100,1,0,1
canva.com,100,1,0,1
github.com,100,127,0,1
google.com,100,17,0,1
indeed.com,100,2,0,1
microsoft.com,100,161,0,1
nih.gov,100,5,0,1
pinterest.com,100,7,1,2
spotify.com,100,9,0,1
t.me,100,6,0,1
wikipedia.org,100,40,0,1
yahoo.co.jp,100,2,0,1
yahoo.com,100,6056,7,2
yandex.ru,100,113,0,1
medium.com,98,304,0,1
softonic.com,98,5,0,1
note.com,97,23,0,1
yandex.com,97,70,0,1
ca.gov,96,3,0,1
blog.naver.com,95,1,0,1
dailymail.co.uk,95,1,0,1
detik.com,95,1,0,1
bing.com,94,1613,1,2
discord.com,94,1,0,1
forbes.com,93,31,0,1
foxnews.com,93,1,0,1
ouest-france.fr,93,1,0,1
wikimedia.org,92,13,0,1
yandex.com.tr,91,56,0,1
mit.edu,90,1,0,1
cornell.edu,89,9,0,1
hp.com,89,6,0,1
linktr.ee,89,9,1,2
mozilla.org,89,16,0,1
lefigaro.fr,88,1,0,1
noaa.gov,88,10,0,1
cbsnews.com,87,1,0,1
ea.com,87,4,0,1
semrush.com,87,13,0,1
stackexchange.com,87,3,0,1
wikihow.com,87,6,0,1
dailymail.com,86,1,0,1
ign.com,86,3,0,1
substack.com,86,251,1,2
www.tumblr.com,86,2,0,1
xfinity.com,86,1,0,1
businessinsider.com,85,4,0,1
npr.org,85,2,0,1
nypost.com,85,1,0,1
shopify.com,85,185,0,1
abc.net.au,84,1,0,1
aljazeera.net,84,1,0,1
coursera.org,84,2,0,1
fnac.com,84,1,0,1
salesforce.com,84,9,0,1
sanook.com,84,1,0,1
washingtonpost.com,84,1,0,1
cloudflare.com,83,54,0,1
cnet.com,83,78,0,1
cosmopolitan.com,83,1,0,1
latimes.com,83,1,0,1
orange.fr,83,29,0,1
prtimes.jp,83,40,0,1
tokyo.lg.jp,83,739,0,1
unam.mx,83,2,0,1
cnnindonesia.com,82,1,0,1
elcomercio.pe,82,1,0,1
godaddy.com,82,22,0,1
howstuffworks.com,82,1,0,1
radiofrance.fr,82,2,0,1
wix.com,82,3,0,1
alibaba.com,81,9,0,1
gouv.qc.ca,81,8,0,1
iheart.com,81,6,0,1
mashable.com,81,2,0,1
pcmag.com,81,15,0,1
time.com,81,1,0,1
20minutos.es,80,4,0,1
berkeley.edu,80,8,0,1
chip.de,80,1,0,1
jimdofree.com,80,11,0,1
naukri.com,80,5,0,1
rbc.ru,80,2,0,1
zoom.com,80,13,0,1
consumerreports.org,79,1,0,1
sapo.pt,79,1,0,1
springer.com,79,14,0,1
zendesk.com,79,22,0,1
zoho.com,79,4,0,1
bbb.org,78,1,0,1
eluniversal.com.mx,78,1,0,1
familysearch.org,78,11,0,1
glassdoor.com,78,2,0,1
hubspot.com,78,86,0,1
ufl.edu,78,1,0,1
bit.ly,77,35,0,1
squareup.com,77,4,0,1
techtarget.com,77,1,0,1
theconversation.com,77,4,0,1
theupsstore.com,77,4,0,1
udemy.com,77,2,0,1
umich.edu,77,2,0,1
utexas.edu,77,2,0,1
wisc.edu,77,1,0,1
archiveofourown.org,76,1,0,1
autodesk.com,76,3,0,1
cuny.edu,76,90,0,1
fiverr.com,76,11,0,1
hostinger.com,76,19,0,1
intel.com,76,1,0,1
jiji.com,76,9,0,1
physio-pedia.com,76,2,0,1
r7.com,76,3,0,1
sudouest.fr,76,1,0,1
techradar.com,76,62,0,1
ucla.edu,76,2,0,1
usp.br,76,1,0,1
utah.edu,76,1,0,1
yale.edu,76,1,0,1
zapier.com,76,25,0,1
cisco.com,75,12,0,1
diamond.jp,75,1,0,1
dribbble.com,75,2,0,1
envato.com,75,4,0,1
globalnews.ca,75,1,0,1
gov.hu,75,3,0,1
hltv.org,75,1,0,1
huffpost.com,75,1,0,1
itmedia.co.jp,75,1,0,1
mailchimp.com,75,1,0,1
npmjs.com,75,1,0,1
sfr.fr,75,14,0,1
unc.edu,75,1,0,1
asu.edu,74,4,0,1
couponfollow.com,74,2,0,1
docker.com,74,14,0,1
forbesjapan.com,74,1,0,1
gofundme.com,74,3,0,1
jotform.com,74,39,0,1
oregonstate.edu,74,2,0,1
pikiran-rakyat.com,74,6,0,1
rd.com,74,1,0,1
upwork.com,74,8,0,1
vodafone.de,74,1,0,1
womenshealthmag.com,74,3,0,1
24.hu,73,1,0,1
ahrefs.com,73,38,0,1
arxiv.org,73,9,0,1
boredpanda.com,73,1,0,1
docusign.com,73,5,0,1
fortinet.com,73,45,0,1
fortune.com,73,1,0,1
goo.gl,73,1,0,1
mdpi.com,73,5,0,1
msi.com,73,1,0,1
namecheap.com,73,3,0,1
seekingalpha.com,73,1,0,1
semana.com,73,2,0,1
serasa.com.br,73,1,0,1
smallseotools.com,73,2,0,1
telekom.de,73,5,0,1
veed.io,73,1,0,1
wikiwiki.jp,73,1,0,1
wordpress.org,73,3345,0,1
ya.ru,73,203,0,1
ycombinator.com,73,39,1,2
zoominfo.com,73,6,0,1
arizona.edu,72,1,0,1
crunchbase.com,72,4,1,2
cybernews.com,72,3,0,1
hatena.ne.jp,72,32,0,1
mathworks.com,72,26,0,1
prnewswire.com,72,5,0,1
techcrunch.com,72,5,0,1
tv2.no,72,1,0,1
uga.edu,72,54,0,1
wikidot.com,72,12,0,1
wordpress.com,72,104,0,1
yell.com,72,1,0,1
acer.com,71,6,0,1
bu.edu,71,1,0,1
clubic.com,71,3,0,1
freee.co.jp,71,1,0,1
georgetown.edu,71,2,0,1
gizmodo.com,71,1,0,1
habr.com,71,93,0,1
ieee.org,71,2,0,1
kaspersky.com,71,3,0,1
knowyourmeme.com,71,1,0,1
malwarebytes.com,71,2,0,1
odoo.com,71,3,0,1
prensalibre.com,71,1,0,1
rogerebert.com,71,10,0,1
thomsonreuters.com,71,1,0,1
unity.com,71,2,0,1
vistaprint.com,71,2,0,1
vocal.media,71,15,0,1
wikibooks.org,71,5,0,1
bancolombia.com,70,1,0,1
byu.edu,70,3,0,1
foxbusiness.com,70,1,0,1
freecodecamp.org,70,15,0,1
frontiersin.org,70,2,0,1
geogebra.org,70,1,0,1
glints.com,70,10,0,1
gutefrage.net,70,3,0,1
jetbrains.com,70,10,0,1
kobe.lg.jp,70,12,0,1
liberation.fr,70,1,0,1
litfl.com,70,1,0,1
madrid.org,70,16,0,1
mcgill.ca,70,1,0,1
qiita.com,70,96,0,1
sports.ru,70,2,0,1
surveymonkey.com,70,2,0,1
team-bhp.com,70,1,0,1
techtudo.com.br,70,2,0,1
thedailybeast.com,70,1,0,1
tomshardware.com,70,3,0,1
tweakers.net,70,11,0,1
ubuntu.com,70,3,0,1
ufrj.br,70,5,0,1
weforum.org,70,2,0,1
crypto.com,69,32,0,1
dev.to,69,296,1,2
dhgate.com,69,14,0,1
doctoralia.com.mx,69,1,0,1
khaleejtimes.com,69,1,0,1
mawdoo3.com,69,4,0,1
moodle.org,69,7,0,1
nos.pt,69,1,0,1
ptt.cc,69,4,0,1
razorpay.com,69,1,0,1
rocketreach.co,69,1,0,1
se.com,69,1,0,1
t-j.ru,69,1,0,1
telkomuniversity.ac.id,69,165,0,1
thestreet.com,69,4,0,1
uba.ar,69,6,0,1
ucsb.edu,69,4,0,1
arstechnica.com,68,5,0,1
buffer.com,68,4,0,1
cloudinary.com,68,3,0,1
dcard.tw,68,2,0,1
depositphotos.com,68,1,0,1
finanztip.de,68,1,0,1
gravatar.com,68,292,0,1
grokipedia.com,68,238,0,1
hku.hk,68,3,0,1
hotmart.com,68,9,0,1
lacity.gov,68,6,0,1
lastpass.com,68,1,0,1
lse.ac.uk,68,2,0,1
miraheze.org,68,2,0,1
ns.nl,68,1,0,1
qualtrics.com,68,3,0,1
surfshark.com,68,13,0,1
ted.com,68,1,0,1
twilio.com,68,3,0,1
vt.edu,68,1,0,1
waseda.jp,68,3,0,1
webex.com,68,2,0,1
aftenposten.no,67,2,0,1
amebaownd.com,67,1,0,1
apartmenttherapy.com,67,1,0,1
benzinga.com,67,1,0,1
capitalizemytitle.com,67,1,0,1
clickup.com,67,113,0,1
codecademy.com,67,2,0,1
domestika.org,67,2,0,1
g2.com,67,16,1,2
gmu.edu,67,1,0,1
invideo.io,67,3,0,1
ionos.com,67,1,0,1
kpn.com,67,11,0,1
literotica.com,67,2,0,1
meetup.com,67,637,0,1
miami.edu,67,1,0,1
monday.com,67,1,0,1
openedition.org,67,1,0,1
phoenix.edu,67,4,0,1
postermywall.com,67,1,0,1
sfgate.com,67,7,0,1
telegram.me,67,34,0,1
tinyurl.com,67,2,0,1
uky.edu,67,1,0,1
voicemod.net,67,2,0,1
yorku.ca,67,3,0,1
advfn.com,66,1,0,1
brunch.co.kr,66,5,0,1
businesswire.com,66,4,0,1
cmoney.tw,66,1,0,1
digitalocean.com,66,2,0,1
ecured.cu,66,16,0,1
edx.org,66,5,0,1
esri.com,66,1,0,1
he.net,66,2,0,1
ismedia.jp,66,1,0,1
justice.gc.ca,66,1,0,1
koimoi.com,66,50,0,1
later.com,66,1,0,1
livechat.com,66,2,0,1
marketbeat.com,66,2,0,1
neocities.org,66,7,0,1
netgear.com,66,3,0,1
onvista.de,66,1,0,1
raspberrypi.com,66,2,0,1
scielo.org.mx,66,1,0,1
senac.br,66,1,0,1
steemit.com,66,14,0,1
