URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://kinsta.com/blog/javascript-libraries/,10.69,128,7240,0,6,27,1,1,0,5,7235,0,0,0,6568,"google, search-gpt",javascript libraries,Informational,3
https://kinsta.com/,8.69,332,5884,0,13,39,33,8,0,239,526,5367,32,0,-3351,"google, google-ai, search-gpt",kinsta,Informational,25
https://kinsta.com/blog/google-search-operators/,6.47,565,4385,0,1,310,6,8,0,1,4359,3,24,0,152,"gemini, google, google-ai, search-gpt",search operators,Informational,59
https://kinsta.com/blog/google-search-console/,3.28,100,2222,0,0,4,23,4,0,0,2222,2208,0,0,1670,"google-ai, search-gpt",google search console,Navigational,3
https://kinsta.com/blog/check-ubuntu-version/,3.11,526,2109,0,0,251,1,3,0,0,2105,0,11,0,-570,google,check ubuntu version,Informational,25
https://kinsta.com/pricing/,3.02,50,2051,0,0,12,8,11,0,0,185,1857,1989,0,1522,"google, google-ai, search-gpt",kinsta pricing,Informational,11
https://kinsta.com/blog/responsive-web-design/,2.24,405,1517,0,6,172,1,0,0,3,227,0,0,0,-1304,google,responsive web design techniques,Informational,6
https://kinsta.com/blog/content-management-system/,2.21,396,1497,0,14,88,0,0,0,60,1486,0,0,0,1288,google,what is a content management system,Informational,2
https://kinsta.com/blog/dns_probe_finished_nxdomain/,2.16,63,1463,0,0,36,0,0,0,0,1463,0,0,0,1197,"google, google-ai, search-gpt",dns_probe_finished_nxdomain,Informational,5
https://my.kinsta.com/login/,2.12,34,1438,0,0,9,6,5,0,0,69,1369,817,0,-124,,kinsta login,Informational,0
https://kinsta.com/blog/err_ssl_protocol_error/,1.88,134,1279,0,1,94,0,0,0,0,1279,0,0,0,443,,www.xnxx.comment an invalid response. err_ssl_protocol_error,Informational,0
https://kinsta.com/blog/401-error/,1.79,139,1212,0,4,108,0,0,0,48,1212,0,0,0,576,"google, search-gpt",http 401,Informational,4
https://kinsta.com/blog/ssh-vs-ssl/,1.66,28,1127,0,7,20,0,1,0,16,1112,0,0,0,1093,search-gpt,what is an ssh tunnel,Informational,3
https://kinsta.com/blog/something-went-wrong-youtube/,1.41,396,958,0,2,321,1,5,0,0,934,0,3,0,570,"gemini, google, google-ai, search-gpt",youtube something went wrong,Informational,42
https://kinsta.com/blog/find-email-address/,1.35,912,917,0,48,325,7,2,0,119,827,12,2,0,244,"google, google-ai",how can i find someone's email,Informational,16
https://kinsta.com/tools/redirect-checker/,1.23,273,839,0,103,41,0,0,0,721,117,0,0,0,-71,google-ai,check redirect,Commercial,1
https://kinsta.com/blog/error-451/,1.19,63,806,0,1,42,5,1,0,9,798,9,7,0,-163,"google, google-ai, search-gpt",error http 451,Informational,5
https://kinsta.com/blog/trials/,1.06,17,721,0,0,1,4,3,0,0,0,721,721,0,13,,kinsta free trial,Navigational,0
https://kinsta.com/blog/this-site-cant-be-reached/,1.04,471,706,0,0,243,0,0,0,0,704,0,0,0,11,"google, google-ai",err_address_unreachable,Informational,16
https://kinsta.com/blog/firefox-extensions/,0.96,176,655,0,20,82,43,2,0,53,589,10,0,0,446,"google, google-ai",firefox extensions,Informational,5
https://kinsta.com/blog/unzip-tar-gz/,0.84,1215,571,0,3,744,0,0,0,0,567,0,0,0,-392,"google, google-ai, search-gpt",untar tar.gz,Informational,48
https://kinsta.com/blog/what-is-javascript/,0.82,35,559,0,0,18,0,0,0,0,559,0,0,0,558,google,what is javascript,Informational,3
https://kinsta.com/blog/html-fonts/,0.76,256,519,0,11,184,2,0,0,34,510,0,0,0,381,"google, google-ai",font style html,Informational,32
https://kinsta.com/wordpress-hosting/,0.75,85,513,25,11,20,10,8,0,11,425,78,57,0,25,"google, search-gpt",kinsta wordpress hosting,Informational,3
https://kinsta.com/blog/what-is-github/,0.75,77,510,0,0,46,17,5,0,0,497,10,3,0,450,"google, search-gpt",what is github,Informational,2
https://kinsta.com/blog/err_too_many_redirects/,0.72,134,491,0,0,84,1,2,0,0,489,0,1,0,227,"gemini, google-ai, search-gpt",err_too_many_redirects,Informational,7
https://kinsta.com/blog/css-text-outline/,0.71,162,487,0,0,85,0,0,0,0,486,0,0,0,-4,search-gpt,text with outline css,Informational,1
https://kinsta.com/blog/what-is-php/,0.63,21,428,0,1,13,2,0,0,0,428,428,0,0,427,"google, search-gpt",php,Informational,3
https://kinsta.com/blog/403-forbidden-error/,0.61,457,413,0,0,279,1,0,0,0,392,1,0,0,-397,"google, search-gpt",what is 403 forbidden,Informational,14
https://kinsta.com/blog/err_connection_refused/,0.57,101,390,0,0,68,0,0,0,0,390,0,0,0,137,"google, google-ai, search-gpt",err_connection_refused,Informational,30
https://kinsta.com/blog/how-to-open-svg-file/,0.57,112,390,0,6,69,1,0,0,257,138,0,0,0,112,google,convert svg to jpg,Informational,3
https://kinsta.com/blog/crawler-list/,0.56,212,380,0,3,29,18,0,0,2,375,51,0,0,192,"google, google-ai",crawlerlist,Informational,4
https://status.kinsta.com/,0.55,17,377,0,0,4,6,2,0,0,59,312,6,0,3,"google-ai, search-gpt",kinsta status,Navigational,8
https://kinsta.com/blog/edit-mac-hosts-file/,0.55,228,373,0,0,190,0,0,0,0,371,0,0,0,-73,google,etc hosts mac os x,Informational,3
https://kinsta.com/blog/best-google-fonts/,0.53,446,363,0,22,18,61,4,0,79,25,324,0,0,239,"google, google-ai",google fonts,Navigational,9
https://kinsta.com/blog/error-410/,0.49,35,334,0,0,17,0,0,0,0,333,0,0,0,143,"google, search-gpt",error 410,Informational,3
https://kinsta.com/blog/cursive-fonts/,0.48,1313,330,0,5,128,1,4,0,8,231,0,0,0,8,"google, google-ai",best cursive fonts,Informational,9
