Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
javascript libraries,7,7,301000,66,3.15,https://kinsta.com/blog/javascript-libraries/,7224,10.67,22755.00,0.02,107,"0, 0, 0, 0, 2, 0, 0, 2, 6, 16, 16, 100",2026-07-22,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
google search console,8,8,368000,100,5.80,https://kinsta.com/blog/google-search-console/,2208,3.26,12806.00,0.03,114,"66, 54, 66, 54, 66, 81, 44, 66, 54, 66, 66, 100",2026-07-16,"Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
search operators,14,14,1220000,53,0.00,https://kinsta.com/blog/google-search-operators/,1830,2.7,0.00,0.01,134,"0, 9, 29, 100, 2, 7, 0, 0, 0, 0, 0, 0",2026-07-19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
kinsta,1,1,8100,57,12.94,https://kinsta.com/,1587,2.34,20535.00,0.34,98,"66, 81, 54, 54, 54, 66, 54, 81, 81, 81, 100, 81",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",navigational,AI overview
kinsta pricing,1,1,1900,56,12.62,https://kinsta.com/pricing/,1520,2.24,19182.00,0.36,87,"18, 18, 13, 10, 16, 16, 18, 66, 66, 53, 66, 66",2026-07-16,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview","navigational, transactional",Organic
dns_probe_finished_nxdomain,1,1,33100,39,0.33,https://kinsta.com/blog/dns_probe_finished_nxdomain/,1357,2,447.00,0.07,125,"44, 36, 44, 44, 54, 100, 54, 54, 54, 36, 66, 66",2026-07-19,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
what is a content management system,8,8,60500,67,11.14,https://kinsta.com/blog/content-management-system/,1331,1.96,14827.00,0.14,20,"0, 0, 0, 0, 20, 3, 9, 30, 44, 81, 30, 100",2026-07-19,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
responsive design,25,25,1830000,85,11.08,https://kinsta.com/blog/responsive-web-design/,1281,1.89,14193.00,0.04,100,"0, 10, 29, 100, 100, 7, 0, 0, 0, 0, 0, 0",2026-07-18,"Knowledge panel, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what is an ssh tunnel,3,3,33100,43,0.00,https://kinsta.com/blog/ssh-vs-ssl/,1075,1.58,0.00,0.33,165,"0, 0, 0, 0, 3, 1, 4, 4, 6, 30, 4, 100",2026-07-18,"Sitelinks, Reviews, Video Carousel, People also ask, Related searches",informational,People also ask
kinsta.com,1,1,1300,78,4.10,https://kinsta.com/,1040,1.53,4264.00,0.11,568000,"22, 22, 5, 5, 4, 5, 13, 36, 36, 65, 81, 43",2026-07-10,"Top stories, Sitelinks, Reviews, Video, Video Carousel, People also ask",navigational,Organic
kinsta hosting,1,1,1000,70,9.54,https://kinsta.com/,800,1.18,7632.00,0.39,120,"13, 29, 29, 13, 13, 13, 16, 22, 16, 16, 22, 65",2026-06-08,"Sitelinks, Video, Ads bottom, People also ask, Related searches",navigational,Organic
kinsta login,1,1,1000,41,0.00,https://my.kinsta.com/login/,800,1.18,0.00,0.33,0,"15, 15, 19, 15, 15, 15, 15, 15, 15, 19, 19, 19",2026-06-12,"Sitelinks, Video, Related searches","navigational, transactional",Organic
kinsta free trial,1,1,880,45,0.00,https://kinsta.com/blog/trials/,704,1.03,0.00,0.33,98,"4, 10, 10, 3, 1, 1, 0, 7, 80, 80, 36, 44",2026-06-22,"Reviews, Video, People also ask, Related searches, AI overview","navigational, transactional",Organic
kinsta web hosting,1,1,880,60,10.87,https://kinsta.com/,704,1.03,7652.00,0.02,118,"20, 24, 16, 24, 16, 16, 24, 24, 41, 79, 100, 30",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
what is javascript,15,15,368000,69,0.95,https://kinsta.com/blog/what-is-javascript/,552,0.81,524.00,0.01,107,"0, 0, 0, 0, 0, 67, 100, 81, 36, 36, 13, 3",2026-07-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
http 401,1,1,6600,39,0.18,https://kinsta.com/blog/401-error/,545,0.8,98.00,0.01,121,"44, 36, 44, 44, 44, 44, 36, 29, 36, 29, 36, 36",2026-07-18,"Image pack, Reviews, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Image pack
php,1,0,49500,93,7.74,https://kinsta.com/blog/what-is-php/,428,0.63,3312.00,0.09,109,"54, 44, 54, 44, 44, 44, 81, 100, 66, 54, 44, 54",2026-07-23,"Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview","informational, navigational",Image pack
what is github,6,6,22200,62,0.55,https://kinsta.com/blog/what-is-github/,421,0.62,231.00,0.03,109,"67, 54, 54, 54, 54, 67, 54, 67, 81, 67, 100, 81",2026-07-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
firefox extensions,9,9,18100,77,2.21,https://kinsta.com/blog/firefox-extensions/,398,0.58,879.00,0.02,20,"66, 54, 66, 66, 54, 66, 66, 54, 54, 44, 54, 81",2026-07-18,"Reviews, Video, People also ask, Related searches",informational,Organic
kinsta wordpress hosting,1,1,480,55,10.86,https://kinsta.com/wordpress-hosting/,384,0.56,4170.00,0.05,120,"39, 100, 100, 48, 39, 48, 39, 39, 48, 48, 48, 48",2026-06-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
mykinsta,1,1,480,48,12.94,https://my.kinsta.com/login/,384,0.56,4968.00,0.34,0,"16, 24, 7, 7, 10, 13, 7, 10, 16, 10, 13, 10",2026-07-06,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
