Domain,Domain ascore,kloudbean.com,kinsta.com,Matches
adobe.com,100,0,22,1
amazon.com,100,0,1,1
canva.com,100,0,1,1
github.com,100,0,127,1
google.com,100,0,17,1
indeed.com,100,0,2,1
microsoft.com,100,0,161,1
nih.gov,100,0,5,1
spotify.com,100,0,9,1
t.me,100,0,6,1
wikipedia.org,100,0,40,1
yahoo.co.jp,100,0,2,1
yandex.ru,100,0,113,1
medium.com,98,0,304,1
softonic.com,98,0,5,1
note.com,97,0,23,1
yandex.com,97,0,70,1
ca.gov,96,0,3,1
blog.naver.com,95,0,1,1
dailymail.co.uk,95,0,1,1
detik.com,95,0,1,1
discord.com,94,0,1,1
forbes.com,93,0,31,1
foxnews.com,93,0,1,1
ouest-france.fr,93,0,1,1
wikimedia.org,92,0,13,1
yandex.com.tr,91,0,56,1
mit.edu,90,0,1,1
cornell.edu,89,0,9,1
hp.com,89,0,6,1
mozilla.org,89,0,16,1
lefigaro.fr,88,0,1,1
noaa.gov,88,0,10,1
cbsnews.com,87,0,1,1
ea.com,87,0,4,1
semrush.com,87,0,13,1
stackexchange.com,87,0,3,1
wikihow.com,87,0,6,1
dailymail.com,86,0,1,1
ign.com,86,0,3,1
www.tumblr.com,86,0,2,1
xfinity.com,86,0,1,1
businessinsider.com,85,0,4,1
npr.org,85,0,2,1
nypost.com,85,0,1,1
shopify.com,85,0,185,1
abc.net.au,84,0,1,1
aljazeera.net,84,0,1,1
coursera.org,84,0,2,1
fnac.com,84,0,1,1
salesforce.com,84,0,9,1
sanook.com,84,0,1,1
washingtonpost.com,84,0,1,1
cloudflare.com,83,0,54,1
cnet.com,83,0,78,1
cosmopolitan.com,83,0,1,1
latimes.com,83,0,1,1
orange.fr,83,0,29,1
prtimes.jp,83,0,40,1
tokyo.lg.jp,83,0,739,1
unam.mx,83,0,2,1
cnnindonesia.com,82,0,1,1
elcomercio.pe,82,0,1,1
godaddy.com,82,0,22,1
howstuffworks.com,82,0,1,1
radiofrance.fr,82,0,2,1
wix.com,82,0,3,1
alibaba.com,81,0,9,1
gouv.qc.ca,81,0,8,1
iheart.com,81,0,6,1
mashable.com,81,0,2,1
pcmag.com,81,0,15,1
time.com,81,0,1,1
20minutos.es,80,0,4,1
berkeley.edu,80,0,8,1
chip.de,80,0,1,1
jimdofree.com,80,0,11,1
naukri.com,80,0,5,1
rbc.ru,80,0,2,1
zoom.com,80,0,13,1
consumerreports.org,79,0,1,1
sapo.pt,79,0,1,1
springer.com,79,0,14,1
zendesk.com,79,0,22,1
zoho.com,79,0,4,1
bbb.org,78,0,1,1
eluniversal.com.mx,78,0,1,1
familysearch.org,78,0,11,1
glassdoor.com,78,0,2,1
hubspot.com,78,0,86,1
ufl.edu,78,0,1,1
bit.ly,77,0,35,1
squareup.com,77,0,4,1
techtarget.com,77,0,1,1
theconversation.com,77,0,4,1
theupsstore.com,77,0,4,1
udemy.com,77,0,2,1
umich.edu,77,0,2,1
utexas.edu,77,0,2,1
wisc.edu,77,0,1,1
archiveofourown.org,76,0,1,1
autodesk.com,76,0,3,1
cuny.edu,76,0,90,1
fiverr.com,76,0,11,1
hostinger.com,76,0,19,1
intel.com,76,0,1,1
jiji.com,76,0,9,1
physio-pedia.com,76,0,2,1
r7.com,76,0,3,1
sudouest.fr,76,0,1,1
techradar.com,76,0,62,1
ucla.edu,76,0,2,1
usp.br,76,0,1,1
utah.edu,76,0,1,1
yale.edu,76,0,1,1
zapier.com,76,0,25,1
cisco.com,75,0,12,1
diamond.jp,75,0,1,1
dribbble.com,75,0,2,1
envato.com,75,0,4,1
globalnews.ca,75,0,1,1
gov.hu,75,0,3,1
hltv.org,75,0,1,1
huffpost.com,75,0,1,1
itmedia.co.jp,75,0,1,1
mailchimp.com,75,0,1,1
npmjs.com,75,0,1,1
sfr.fr,75,0,14,1
unc.edu,75,0,1,1
asu.edu,74,0,4,1
couponfollow.com,74,0,2,1
docker.com,74,0,14,1
forbesjapan.com,74,0,1,1
gofundme.com,74,0,3,1
jotform.com,74,0,39,1
oregonstate.edu,74,0,2,1
pikiran-rakyat.com,74,0,6,1
rd.com,74,0,1,1
upwork.com,74,0,8,1
vodafone.de,74,0,1,1
womenshealthmag.com,74,0,3,1
24.hu,73,0,1,1
ahrefs.com,73,0,38,1
arxiv.org,73,0,9,1
boredpanda.com,73,0,1,1
docusign.com,73,0,5,1
fortinet.com,73,0,45,1
fortune.com,73,0,1,1
goo.gl,73,0,1,1
mdpi.com,73,0,5,1
msi.com,73,0,1,1
namecheap.com,73,0,3,1
seekingalpha.com,73,0,1,1
semana.com,73,0,2,1
serasa.com.br,73,0,1,1
smallseotools.com,73,0,2,1
telekom.de,73,0,5,1
veed.io,73,0,1,1
wikiwiki.jp,73,0,1,1
wordpress.org,73,0,3345,1
ya.ru,73,0,203,1
zoominfo.com,73,0,6,1
arizona.edu,72,0,1,1
cybernews.com,72,0,3,1
hatena.ne.jp,72,0,32,1
mathworks.com,72,0,26,1
prnewswire.com,72,0,5,1
techcrunch.com,72,0,5,1
tv2.no,72,0,1,1
uga.edu,72,0,54,1
wikidot.com,72,0,12,1
wordpress.com,72,0,104,1
yell.com,72,0,1,1
acer.com,71,0,6,1
bu.edu,71,0,1,1
clubic.com,71,0,3,1
freee.co.jp,71,0,1,1
georgetown.edu,71,0,2,1
gizmodo.com,71,0,1,1
habr.com,71,0,93,1
ieee.org,71,0,2,1
kaspersky.com,71,0,3,1
knowyourmeme.com,71,0,1,1
malwarebytes.com,71,0,2,1
odoo.com,71,0,3,1
prensalibre.com,71,0,1,1
rogerebert.com,71,0,10,1
thomsonreuters.com,71,0,1,1
unity.com,71,0,2,1
vistaprint.com,71,0,2,1
vocal.media,71,0,15,1
wikibooks.org,71,0,5,1
bancolombia.com,70,0,1,1
byu.edu,70,0,3,1
foxbusiness.com,70,0,1,1
freecodecamp.org,70,0,15,1
frontiersin.org,70,0,2,1
geogebra.org,70,0,1,1
glints.com,70,0,10,1
gutefrage.net,70,0,3,1
jetbrains.com,70,0,10,1
kobe.lg.jp,70,0,12,1
liberation.fr,70,0,1,1
litfl.com,70,0,1,1
madrid.org,70,0,16,1
mcgill.ca,70,0,1,1
qiita.com,70,0,96,1
sports.ru,70,0,2,1
surveymonkey.com,70,0,2,1
team-bhp.com,70,0,1,1
techtudo.com.br,70,0,2,1
thedailybeast.com,70,0,1,1
tomshardware.com,70,0,3,1
tweakers.net,70,0,11,1
ubuntu.com,70,0,3,1
ufrj.br,70,0,5,1
weforum.org,70,0,2,1
crypto.com,69,0,32,1
dhgate.com,69,0,14,1
doctoralia.com.mx,69,0,1,1
khaleejtimes.com,69,0,1,1
mawdoo3.com,69,0,4,1
moodle.org,69,0,7,1
nos.pt,69,0,1,1
ptt.cc,69,0,4,1
razorpay.com,69,0,1,1
rocketreach.co,69,0,1,1
se.com,69,0,1,1
t-j.ru,69,0,1,1
telkomuniversity.ac.id,69,0,165,1
thestreet.com,69,0,4,1
uba.ar,69,0,6,1
ucsb.edu,69,0,4,1
arstechnica.com,68,0,5,1
buffer.com,68,0,4,1
cloudinary.com,68,0,3,1
dcard.tw,68,0,2,1
depositphotos.com,68,0,1,1
finanztip.de,68,0,1,1
gravatar.com,68,0,292,1
grokipedia.com,68,0,238,1
hku.hk,68,0,3,1
hotmart.com,68,0,9,1
lacity.gov,68,0,6,1
lastpass.com,68,0,1,1
lse.ac.uk,68,0,2,1
miraheze.org,68,0,2,1
ns.nl,68,0,1,1
qualtrics.com,68,0,3,1
surfshark.com,68,0,13,1
ted.com,68,0,1,1
twilio.com,68,0,3,1
vt.edu,68,0,1,1
waseda.jp,68,0,3,1
webex.com,68,0,2,1
aftenposten.no,67,0,2,1
amebaownd.com,67,0,1,1
apartmenttherapy.com,67,0,1,1
benzinga.com,67,0,1,1
capitalizemytitle.com,67,0,1,1
clickup.com,67,0,113,1
codecademy.com,67,0,2,1
domestika.org,67,0,2,1
gmu.edu,67,0,1,1
invideo.io,67,0,3,1
ionos.com,67,0,1,1
kpn.com,67,0,11,1
literotica.com,67,0,2,1
meetup.com,67,0,637,1
miami.edu,67,0,1,1
monday.com,67,0,1,1
openedition.org,67,0,1,1
phoenix.edu,67,0,4,1
postermywall.com,67,0,1,1
sfgate.com,67,0,7,1
telegram.me,67,0,34,1
tinyurl.com,67,0,2,1
uky.edu,67,0,1,1
voicemod.net,67,0,2,1
yorku.ca,67,0,3,1
advfn.com,66,0,1,1
brunch.co.kr,66,0,5,1
businesswire.com,66,0,4,1
cmoney.tw,66,0,1,1
digitalocean.com,66,0,2,1
ecured.cu,66,0,16,1
edx.org,66,0,5,1
esri.com,66,0,1,1
he.net,66,0,2,1
ismedia.jp,66,0,1,1
justice.gc.ca,66,0,1,1
koimoi.com,66,0,50,1
later.com,66,0,1,1
livechat.com,66,0,2,1
marketbeat.com,66,0,2,1
neocities.org,66,0,7,1
netgear.com,66,0,3,1
onvista.de,66,0,1,1
raspberrypi.com,66,0,2,1
scielo.org.mx,66,0,1,1
senac.br,66,0,1,1
steemit.com,66,0,14,1
taz.de,66,0,1,1
thethaiger.com,66,0,1,1
unir.net,66,0,1,1
vikidia.org,66,0,4,1
vodafone.co.uk,66,0,1,1
xsrv.jp,66,0,1,1
znanierussia.ru,66,0,2,1
1password.com,65,0,2,1
bio.site,65,0,1,1
calameo.com,65,0,42,1
