Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
bejamas.com,0.08,132,1924,2584,9756.00,0
agilitycms.com,0.06,99,4137,1440,4017.00,104
flexprice.io,0.06,37,1519,3378,18013.00,0
vercel.com,0.05,300,32185,243677,1033295.00,104
ikius.com,0.05,64,791,276,927.00,0
contentful.com,0.05,228,15348,50281,225185.00,142
render.com,0.04,143,5396,96666,414380.00,21
freetiers.com,0.04,16,411,11,83.00,0
jamstack.org,0.04,98,1589,3377,19028.00,0
talentelgia.com,0.04,34,3577,363,895.00,0
luckymedia.dev,0.03,28,771,292,1204.00,2
visualneo.com,0.03,10,470,157,325.00,0
sanity.io,0.03,109,10742,17396,49983.00,116
nextjs.org,0.03,125,17774,118976,484123.00,0
gatsbyjs.com,0.03,74,1729,4876,12078.00,0
daily-dev-tips.com,0.02,11,1551,347,92.00,0
honlsoft.com,0.02,18,90,30,92.00,0
travis-ci.com,0.02,12,639,3244,21648.00,0
edgeone.ai,0.02,62,11885,26242,36141.00,26
danubedata.ro,0.02,21,261,55,196.00,0
naturaily.com,0.02,62,2003,1827,6028.00,0
snipcart.com,0.02,35,1697,3287,24480.00,0
infinityfree.com,0.02,89,4272,33963,156716.00,0
madeleinesmith.uk,0.02,6,25,1,4.00,0
yihui.org,0.02,19,1507,2494,622.00,0
kuberns.com,0.02,17,1016,884,8564.00,0
deployhq.com,0.02,41,4789,2914,52191.00,0
glukhov.org,0.02,21,2257,1516,6993.00,0
selleo.com,0.02,36,3475,2137,10090.00,0
wasmer.io,0.02,56,3205,33161,288605.00,0
heroku.com,0.01,53,15252,91445,691803.00,0
techsy.io,0.01,12,729,777,4312.00,0
kinsta.com,0.01,132,62929,67700,230636.00,117
appwrite.io,0.01,32,2374,7288,13965.00,0
hicronsoftware.com,0.01,34,4774,1872,7264.00,0
ozmoroz.com,0.01,5,82,113,49.00,0
astro.build,0.01,26,3061,23855,45090.00,0
webbygram.com,0.01,40,865,1738,39.00,0
static.app,0.01,45,3764,13021,52722.00,0
focusreactive.com,0.01,28,985,935,6316.00,0
nodesource.com,0.01,45,4161,6006,17032.00,0
back4app.com,0.01,53,13467,15582,16484.00,2
staticforms.dev,0.01,7,427,958,256.00,0
gohugo.io,0.01,36,4639,27421,102287.00,0
alokai.com,0.01,67,2693,4022,12533.00,0
raymondcamden.com,0.01,17,1146,2065,1135.00,0
netguru.com,0.01,44,26077,15291,75566.00,0
dhiwise.com,0.01,53,24952,3969,5782.00,0
element84.com,0.01,13,781,1022,623.00,0
agingdeveloper.com,0.01,4,15,11,0.00,0
stacknova.ca,0.01,54,486,76,24.00,0
temps.sh,0.01,6,51,241,140.00,0
circleci.com,0.01,64,11590,42793,204137.00,76
vite.dev,0.01,27,5369,33009,51231.00,0
agentcommunity.org,0.01,12,182,301,820.00,0
cosmicjs.com,0.01,30,1978,3759,14180.00,0
nodejs.org,0.01,90,25270,471733,1942453.00,1
tempertemper.net,0.01,39,1899,2969,2758.00,0
composable.com,0.01,7,397,249,1325.00,0
decapcms.org,0.01,11,77,1370,7838.00,0
npmjs.com,0.01,265,133165,451678,1369688.00,0
youstable.com,0.01,48,6087,1244,2062.00,0
contentstack.com,0.01,60,12460,17185,70097.00,840
http.dev,0.01,42,6000,12481,4536.00,0
pazly.dev,0.01,6,34,2,15.00,0
strapi.io,0.01,88,11570,27507,104442.00,8
tiiny.host,0.01,60,14133,13358,48228.00,0
saasprices.net,0.01,10,209,41,248.00,0
freehosting.com,0.01,23,2311,4724,31972.00,0
