URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://www.netlify.com/,63.33,766,105395,39,37,264,250,36,0,309,2945,102377,202,0,-2956,"gemini, google, google-ai, search-gpt",netlify,Informational,134
https://www.netlify.com/platform/functions/,10.74,38,17876,0,1,9,6,1,0,0,17876,1,0,0,17876,google,netlify functions,Informational,1
https://www.netlify.com/blog/news/,3.9,6,6491,0,0,4,1,0,0,0,6491,6480,0,0,4666,,netlify news,Informational,0
https://app.netlify.com/drop,3.19,89,5325,0,3,16,34,6,0,168,101,5215,45,0,2099,"gemini, google, search-gpt",netlify drop,Navigational,6
https://www.netlify.com/pricing/,1.94,179,3232,0,2,71,47,41,0,0,404,2868,2836,0,-427,"gemini, google, google-ai, search-gpt",netlify pricing,Informational,29
https://app.netlify.com/login,1.81,89,3024,5,0,12,27,17,0,0,168,2833,2597,0,393,,netlify login,Navigational,0
https://app.netlify.com/,1.17,158,1957,0,2,34,50,7,0,7,132,1772,54,0,469,"google, search-gpt",fluffy-pony-316cb6.netlify.app,Navigational,5
https://www.netlify.com/about/,0.78,74,1310,0,0,31,15,2,0,0,112,1213,1,0,1182,"google, google-ai, search-gpt",netlify,Informational,12
https://app.netlify.com/signup/email,0.6,20,1003,0,0,1,13,6,0,0,27,798,207,0,213,,free gmail.netlify,Navigational,0
https://www.netlify.com/blog/netlify-entertainment-system/,0.53,45,885,0,2,19,18,8,0,3,96,787,220,0,174,google,netlify games,Informational,2
https://www.netlify.com/guides/web-development-frameworks/,0.42,53,710,0,7,46,0,0,0,630,710,0,0,0,663,"gemini, google, search-gpt",web development frameworks,Informational,31
https://www.netlify.com/blog/introducing-netlify-free-plan/,0.41,97,698,0,1,42,30,33,0,0,260,505,200,0,46,"google, google-ai, search-gpt",netlify free,Informational,15
https://docs.netlify.com/build/functions/overview/,0.38,23,640,0,0,8,2,0,0,0,605,35,0,0,-1542,google,netlify functions,Informational,1
https://www.netlify.com/guides/what-is-backend-development/,0.36,66,612,0,0,42,0,0,0,0,612,0,0,0,219,google,backend development,Informational,6
https://www.netlify.com/integrations/content-management/,0.28,16,480,0,0,9,0,2,0,0,480,0,252,0,-42,,netlify cms,Informational,0
https://answers.netlify.com/t/err-ssl-protocol-error-every-time/99567,0.27,75,457,0,0,72,0,0,0,0,457,0,0,0,-1318,google,www.xnxx.com sent an invalid response. err_ssl_protocol_error,Informational,10
https://app.netlify.com/signup,0.23,67,387,23,1,11,34,9,0,1,90,297,96,0,144,,netlify.app,Navigational,0
