Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
netlify functions,1,0,22200,40,0.00,informational,https://www.netlify.com/platform/functions/,17760,10.67,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,Organic,,
netlify news,1,1,8100,53,0.00,"informational, navigational",https://www.netlify.com/blog/news/,6270,3.89,0.00,0.33,103,"0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1, 0",2026-07-20,Organic,Top stories,Video Carousel
netifly,1,1,5400,72,1.75,navigational,https://www.netlify.com/,-4180,0.08,245.00,0.08,0,"29, 29, 36, 36, 23, 23, 66, 23, 36, 44, 100, 81",2026-07-18,Organic,,"Top stories, Video Carousel, People also ask"
netlify functions,0,1,22200,42,8.97,"informational, transactional",https://www.netlify.com/platform/core/functions/,-2930,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-02,Organic,,
netlify news,0,1,8100,62,0.00,"informational, navigational",https://www.netlify.com/blog/news/,-1587,0,0.00,0.01,104,"0, 0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1",2026-07-05,AI overview,,
netlify functions,2,2,22200,40,0.00,informational,https://docs.netlify.com/build/functions/overview/,-1243,0.34,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,Organic,,
netlify drop,1,1,4400,37,7.38,navigational,https://app.netlify.com/drop,1200,2.11,25977.00,0.16,131,"8, 19, 12, 24, 12, 16, 16, 16, 19, 29, 66, 100",2026-07-21,Organic,Discussions and forums,
netlify,0,1,90500,63,1.75,navigational,https://developers.netlify.com/videos/five-ways-to-deploy-a-new-netlify-site/,-1176,0,0.00,0.08,0,"30, 30, 30, 45, 36, 36, 36, 36, 45, 67, 82, 100",2026-07-03,People also ask,,
netlify,1,0,90500,73,1.75,navigational,https://www.netlify.com/about/,1176,0.7,2058.00,0.08,0,"30, 30, 30, 45, 36, 36, 36, 36, 45, 67, 82, 100",2026-07-17,People also ask,,
www.xnxx.com sent an invalid response. err_ssl_protocol_error,7,3,14800,28,0.00,informational,https://answers.netlify.com/t/err-ssl-protocol-error-every-time/99567,-1088,0.05,0.00,0.33,73,"81, 100, 66, 100, 66, 24, 7, 3, 3, 2, 1, 1",2026-07-22,Organic,Related searches,
netlify news,1,1,8100,53,0.00,"informational, navigational",https://www.netlify.com/blog/netlify-for-agents/,-907,0,0.00,0.33,103,"0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1, 0",2026-07-20,AI overview,Top stories,Video Carousel
netlify functions,0,2,22200,42,8.97,"informational, transactional",https://www.netlify.com/platform/core/functions/,-721,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-22,People also ask,,
web development frameworks,2,0,14800,44,5.26,"commercial, informational",https://www.netlify.com/guides/web-development-frameworks/,606,0.36,3187.00,0.05,83,"5, 20, 24, 10, 81, 100, 3, 16, 4, 16, 29, 24",2026-07-18,People also ask,,
netfly,2,1,8100,40,4.04,informational,https://www.netlify.com/,-567,0.64,4318.00,0.01,120,"2, 3, 4, 5, 8, 8, 10, 20, 20, 44, 54, 54",2026-07-18,Organic,,Video Carousel
netflify,1,1,3600,63,1.75,navigational,https://www.netlify.com/,560,1.73,5040.00,0.08,0,"35, 35, 23, 29, 44, 44, 35, 23, 66, 66, 44, 44",2026-07-18,Organic,People also ask,Video Carousel
netlify functions,0,3,22200,42,8.97,"informational, transactional",https://www.netlify.com/pricing/,-532,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-16,Organic,,
netlify functions,0,2,22200,42,8.97,"informational, transactional",https://www.netlify.com/,-488,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-22,People also ask,,
netlify login,1,1,2900,59,7.74,"navigational, transactional",https://app.netlify.com/login,400,1.39,17956.00,0.02,0,"36, 43, 54, 54, 54, 43, 54, 65, 81, 65, 100, 100",2026-07-21,Organic,,
netlify app,1,1,2400,43,5.78,navigational,https://www.netlify.com/,400,1.15,11097.00,0.19,0,"43, 43, 54, 36, 54, 36, 36, 36, 43, 65, 81, 100",2026-07-22,Organic,Video Carousel,
netlify functions,0,2,22200,42,8.97,"informational, transactional",https://www.netlify.com/pricing/personal-vs-free/,-388,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-02,People also ask,,
netlify functions,7,6,22200,40,0.00,informational,https://answers.netlify.com/t/is-it-possible-to-send-post-request-to-netlify-functions/17161,-364,0.03,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,Organic,,
simple analytics,2,0,40500,46,5.70,navigational,https://www.netlify.com/integrations/simple-analytics/,364,0.21,2074.00,0.1,0,"0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 82, 100",2026-07-22,People also ask,,
how to deploy react app to netlify,2,1,260,20,0.00,informational,https://www.netlify.com/blog/2016/07/22/deploy-react-apps-in-less-than-30-seconds/,-363,0.01,0.00,0.33,133,"100, 0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0",2026-07-01,Organic,Discussions and forums,
www.xnxx.comment an invalid response. err_ssl_protocol_error,0,7,14800,17,0.00,informational,https://answers.netlify.com/t/err-ssl-protocol-error-every-time/99567,-355,0,0.00,0.33,61,"81, 66, 81, 81, 100, 66, 44, 29, 24, 10, 4, 2",2026-07-10,Organic,,
inurl:forced,0,3,6600,19,0.00,informational,https://answers.netlify.com/t/my-url-paths-are-forced-into-lowercase/1659,-290,0,0.00,0.33,595000,"0, 0, 0, 0, 0, 0, 81, 100, 81, 0, 66, 66",2026-06-28,Organic,,
netlify functions,3,14,22200,40,0.00,informational,https://docs.netlify.com/build/functions/get-started/,277,0.18,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,Organic,,
netlify functions,0,1,22200,42,8.97,"informational, transactional",https://www.netlify.com/platform/core/functions/,-269,0,0.00,0.02,104,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100",2026-07-08,AI overview,,
gold coast dermatology,1,0,320,29,1.98,navigational,https://app.netlify.com/projects/goldcoastdermatology/deploys,256,0.15,506.00,0.09,103,"36, 44, 66, 54, 66, 44, 54, 66, 2, 23, 29, 44",2026-07-20,Local pack,,
nelify,1,1,1000,71,1.75,navigational,https://www.netlify.com/,-240,0.48,1400.00,0.08,0,"36, 10, 16, 44, 24, 36, 24, 27, 27, 36, 36, 27",2026-07-17,Organic,,Video Carousel
deploy,0,6,9900,45,9.68,informational,https://answers.netlify.com/t/the-word-deploy-used-as-a-noun/93429,-237,0,0.00,0.33,135,"36, 54, 81, 24, 54, 66, 44, 36, 44, 54, 44, 66",2026-06-26,Organic,,
backend development,16,11,201000,56,5.09,informational,https://www.netlify.com/guides/what-is-backend-development/,233,0.36,3069.00,0.03,127,"0, 0, 0, 0, 0, 0, 1, 4, 7, 30, 20, 100",2026-07-21,Organic,,
netlify.,1,1,880,46,1.75,navigational,https://www.netlify.com/,232,0.42,1232.00,0.08,0,"2, 1, 2, 1, 80, 27, 24, 24, 8, 66, 24, 3",2026-06-26,Organic,Video Carousel,People also ask
netifly,1,2,5400,72,1.75,navigational,https://docs.netlify.com/,208,0.12,369.00,0.08,0,"29, 29, 36, 36, 23, 23, 66, 23, 36, 44, 100, 81",2026-07-18,AI overview,,"Top stories, Video Carousel, People also ask"
https://fluffy-pony-316cb6.netlify.app/,1,0,210,68,0.00,navigational,https://app.netlify.com/,168,0.1,0.00,0,266,"100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",2026-06-29,Organic,,
ntelify,1,1,50,45,1.75,navigational,https://www.netlify.com/,-168,0.02,70.00,0.08,0,"0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 5",2026-06-28,Organic,People also ask,
netlify serverless functions,1,2,210,37,0.00,informational,https://www.netlify.com/blog/intro-to-serverless-functions/,163,0.1,0.00,0.01,45,"8, 36, 62, 6, 4, 4, 4, 4, 5, 5, 4, 1",2026-07-22,Organic,Image pack,"Discussions and forums, AI overview"
netlify serverless functions,2,1,210,37,0.00,informational,https://docs.netlify.com/build/functions/overview/,-163,0,0.00,0.01,45,"8, 36, 62, 6, 4, 4, 4, 4, 5, 5, 4, 1",2026-07-22,Organic,Image pack,"Discussions and forums, AI overview"
netlify cdn,1,2,210,38,13.38,"navigational, transactional",https://www.netlify.com/platform/core/edge/,163,0.1,2247.00,0.1,55,"9, 59, 100, 7, 7, 7, 9, 11, 11, 11, 14, 2",2026-07-19,Organic,,Video Carousel
netlify cdn,2,1,210,38,13.38,"navigational, transactional",https://docs.netlify.com/build/image-cdn/overview/,-163,0,66.00,0.1,55,"9, 59, 100, 7, 7, 7, 9, 11, 11, 11, 14, 2",2026-07-19,Organic,,Video Carousel
netlify.app,3,2,2400,61,5.78,informational,https://app.netlify.com/login,-160,0.09,901.00,0.19,14700000,"54, 44, 100, 5, 35, 19, 12, 12, 12, 19, 29, 29",2026-07-19,Organic,AI overview,Video Carousel
netlify.app,0,3,2400,40,6.19,navigational,https://app.netlify.com/index.html,-156,0,0.00,0.18,14500000,"3, 54, 44, 100, 5, 35, 19, 12, 12, 12, 19, 29",2026-07-19,Organic,,
nnetlify,1,1,140,66,1.75,navigational,https://www.netlify.com/,-144,0.06,196.00,0.08,0,"0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 1, 0",2026-07-03,Organic,,
netlify deployment,0,1,170,40,9.15,navigational,https://www.netlify.com/blog/2016/09/29/a-step-by-step-guide-deploying-on-netlify/,-136,0,0.00,0.28,108,"9, 3, 3, 7, 4, 48, 100, 4, 4, 3, 4, 5",2026-07-10,Organic,,
netlify drop.,1,0,170,29,7.38,navigational,https://app.netlify.com/drop,136,0.08,1003.00,0.16,0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100",2026-07-09,Organic,,
netlify functions,2,1,22200,40,0.00,informational,https://docs.netlify.com/build/functions/overview/,-135,0.01,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,AI overview,,
simple analytics,0,4,22200,48,6.73,navigational,https://www.netlify.com/integrations/simple-analytics/,-133,0,0.00,0.14,0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44, 100",2026-07-22,Organic,,
freegmail.netlify.app,2,0,1000,37,0.00,navigational,https://app.netlify.com/signup/email,132,0.07,0.00,0.33,689,"3, 81, 100, 1, 0, 0, 0, 0, 0, 0, 0, 0",2026-07-22,Organic,,
netlfiy,1,1,880,83,1.75,navigational,https://www.netlify.com/,128,0.42,1232.00,0.08,0,"16, 16, 29, 54, 10, 29, 7, 16, 20, 8, 16, 13",2026-07-16,Organic,,
netflify drop,1,1,320,24,7.38,navigational,https://app.netlify.com/drop,120,0.15,1889.00,0.16,134,"76, 20, 0, 10, 0, 0, 13, 0, 0, 0, 100, 55",2026-07-18,Organic,Discussions and forums,People also ask
netlify newsletter,15,1,140,22,0.00,informational,https://www.netlify.com/blog/tags/newsletter/,-112,0,0.00,0.33,111,"2, 2, 2, 2, 100, 26, 5, 7, 4, 2, 3, 4",2026-07-08,Organic,Video Carousel,
netlify connect,0,1,140,41,0.00,navigational,https://www.netlify.com/blog/introducing-netlify-connect/,-112,0,0.00,0.33,3480000,"4, 4, 5, 2, 2, 48, 100, 4, 2, 2, 2, 2",2026-06-26,Organic,,
netlify functions,3,0,22200,40,0.00,informational,https://www.netlify.com/platform/functions/,111,0.06,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,People also ask,,
netlify hipaa compliance,1,1,90,17,0.00,informational,https://www.netlify.com/blog/netlify-launches-a-hipaa-compliant-service-offering/,-110,0,0.00,0,121,"1, 0, 100, 0, 3, 3, 0, 1, 1, 2, 2, 0",2026-06-29,Organic,,
netlify connect,1,2,140,17,0.00,navigational,https://www.netlify.com/,110,0.06,0.00,0.33,107,"2, 48, 100, 4, 2, 2, 2, 2, 2, 5, 3, 2",2026-06-26,Organic,,
netlify compose,1,1,140,27,0.00,"navigational, transactional",https://www.netlify.com/compose/,-109,0,0.00,0,109,"2, 48, 100, 3, 2, 2, 2, 0, 2, 2, 2, 2",2026-07-02,Organic,"People also ask, AI overview",
na map,0,8,4400,19,0.62,informational,https://answers.netlify.com/t/naval-action-url-na-map-netlify-not-accessible/24587,-105,0,0.00,0.71,110,"7, 8, 16, 36, 24, 29, 29, 8, 13, 16, 100, 8",2026-07-02,Organic,,
nerlify,1,1,590,56,1.75,navigational,https://www.netlify.com/,-104,0.28,826.00,0.08,0,"100, 16, 0, 0, 0, 20, 0, 0, 0, 1, 1, 8",2026-07-10,Organic,Ads middle,
app.netlify,1,1,390,44,7.62,navigational,https://app.netlify.com/,104,0.18,2377.00,0.16,0,"0, 3, 100, 4, 3, 7, 5, 4, 5, 7, 20, 24",2026-07-01,Organic,,Video Carousel
what is netlify,0,1,880,34,8.86,informational,https://www.netlify.com/pricing/,-98,0,0.00,0.01,98,"55, 36, 45, 67, 76, 76, 76, 100, 76, 76, 55, 67",2026-07-20,AI overview,,
block ai,1,0,880,50,5.30,informational,https://developers.netlify.com/guides/blocking-ai-bots-and-controlling-crawlers/,98,0.05,519.00,0.08,134,"31, 20, 25, 25, 37, 52, 31, 46, 37, 100, 68, 52",2026-07-23,AI overview,,
netlifydrop,1,1,210,34,7.38,"commercial, navigational",https://app.netlify.com/drop,96,0.1,1239.00,0.16,136,"54, 0, 0, 0, 1, 0, 0, 0, 44, 2, 100, 81",2026-07-18,Organic,Discussions and forums,People also ask
anima app logo,1,1,720,21,0.00,"informational, navigational",https://www.netlify.com/integrations/anima/,90,0.05,0.00,0.33,113,"44, 55, 3, 30, 65, 65, 4, 4, 5, 7, 8, 0",2026-07-14,Image pack,AI overview,
