Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
netlify,1,1,90500,73,1.75,https://www.netlify.com/,72400,43.5,126700.00,0.08,0,"30, 30, 30, 45, 36, 36, 36, 36, 45, 67, 82, 100",2026-07-17,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
netlify functions,1,1,22200,40,0.00,https://www.netlify.com/platform/functions/,17760,10.67,0.00,0.01,105,"0, 0, 0, 0, 0, 0, 0, 0, 1, 44, 100, 0",2026-07-22,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
netlify news,1,1,8100,53,0.00,https://www.netlify.com/blog/news/,6480,3.89,0.00,0.33,103,"0, 1, 2, 0, 54, 100, 0, 36, 10, 1, 1, 0",2026-07-20,"Top stories, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
netify,1,1,5400,51,1.75,https://www.netlify.com/,4320,2.59,7560.00,0.08,0,"81, 29, 66, 44, 29, 44, 36, 36, 36, 54, 81, 100",2026-07-17,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
netlify drop,1,1,4400,37,7.38,https://app.netlify.com/drop,3520,2.11,25977.00,0.16,131,"8, 19, 12, 24, 12, 16, 16, 16, 19, 29, 66, 100",2026-07-21,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums",navigational,Organic
netflify,1,1,3600,63,1.75,https://www.netlify.com/,2880,1.73,5040.00,0.08,0,"35, 35, 23, 29, 44, 44, 35, 23, 66, 66, 44, 44",2026-07-18,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
netlify login,1,1,2900,59,7.74,https://app.netlify.com/login,2320,1.39,17956.00,0.02,0,"36, 43, 54, 54, 54, 43, 54, 65, 81, 65, 100, 100",2026-07-21,"Sitelinks, Reviews, Video, Related searches","navigational, transactional",Organic
netlify app,1,1,2400,43,5.78,https://www.netlify.com/,1920,1.15,11097.00,0.19,0,"43, 43, 54, 36, 54, 36, 36, 36, 43, 65, 81, 100",2026-07-22,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
netlify pricing,1,1,1600,40,8.22,https://www.netlify.com/pricing/,1280,0.76,10521.00,0.07,127,"54, 79, 79, 100, 54, 79, 100, 54, 41, 41, 41, 66",2026-06-06,"Sitelinks, People also ask, Related searches","navigational, transactional",Organic
netfly,2,2,8100,40,4.04,https://www.netlify.com/,1069,0.64,4318.00,0.01,120,"2, 3, 4, 5, 8, 8, 10, 20, 20, 44, 54, 54",2026-07-18,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
netfily,1,1,1300,78,2.26,https://www.netlify.com/,1040,0.62,2350.00,0.07,0,"44, 24, 44, 44, 20, 44, 24, 55, 100, 24, 34, 65",2026-06-12,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
nelify,1,1,1000,71,1.75,https://www.netlify.com/,800,0.48,1400.00,0.08,0,"36, 10, 16, 44, 24, 36, 24, 27, 27, 36, 36, 27",2026-07-17,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
netlify.com,1,1,1000,70,3.39,https://www.netlify.com/,800,0.48,2712.00,0.14,10800000,"2, 7, 10, 24, 53, 5, 5, 8, 10, 53, 10, 18",2026-06-09,"Sitelinks, Video, People also ask",navigational,Organic
netly,1,1,880,30,2.26,https://www.netlify.com/,704,0.42,1591.00,0.07,104000,"1, 1, 5, 12, 1, 1, 1, 1, 1, 2, 2, 100",2026-06-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
netlfiy,1,1,880,83,1.75,https://www.netlify.com/,704,0.42,1232.00,0.08,0,"16, 16, 29, 54, 10, 29, 7, 16, 20, 8, 16, 13",2026-07-16,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
netlify.,1,1,880,46,1.75,https://www.netlify.com/,704,0.42,1232.00,0.08,0,"2, 1, 2, 1, 80, 27, 24, 24, 8, 66, 24, 3",2026-06-26,"Knowledge panel, Sitelinks, Reviews, Video, Video Carousel, Related searches",navigational,Organic
backend development,16,16,201000,56,5.09,https://www.netlify.com/guides/what-is-backend-development/,603,0.36,3069.00,0.03,127,"0, 0, 0, 0, 0, 0, 1, 4, 7, 30, 20, 100",2026-07-21,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
