URL,Traffic,Traffic (%),Number of Keywords
www.netlify.com,144099,86.59275283937264,6188
app.netlify.com,12557,7.545820563668048,916
docs.netlify.com,4877,2.9307132984796587,1979
answers.netlify.com,4146,2.491436812691545,6361
developers.netlify.com,662,0.3978126314524368,637
open-api.netlify.com,18,0.01081665765278529,8
main--functions.netlify.com,12,0.007211105101856859,20
xlb.netlify.com,12,0.007211105101856859,2
5-million-devs.netlify.com,11,0.006610179676702121,19
netlify.com,7,0.0042064779760831675,14
cli.netlify.com,6,0.0036055525509284293,18
spark-ui-docs.netlify.com,2,0.0012018508503094764,1
create.netlify.com,1,0.0006009254251547382,12
deploy-preview-502--developers.netlify.com,0,0,3
deploy-preview-650--open-api.netlify.com,0,0,1
deploy-preview-8176--cli.netlify.com,0,0,1
feat-auto-install-required-extensions--cli.netlify.com,0,0,5
fix-casper-stack--templates.netlify.com,0,0,1
master--cli.netlify.com,0,0,2
swag.netlify.com,0,0,2
templates.netlify.com,0,0,9
v13-2-1--cli.netlify.com,0,0,2
your-year-on.netlify.com,0,0,1
