URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://pressable.com/,28.78,98,1591,13,7,23,14,4,0,53,57,1480,12,0,130,"gemini, google, google-ai, search-gpt",pressable,Informational,14
https://pressable.com/blog/category/wordpress-news/,22.1,4,1222,0,0,3,0,0,0,0,1222,0,0,0,690,,wordpress news,Informational,0
https://pressable.com/blog/what-is-gpl/,8.08,120,447,0,0,92,0,0,0,0,446,0,0,0,86,"google, google-ai",gpl,Informational,38
https://pressable.com/web-tools/cms-detector/,6.69,102,370,0,9,84,7,0,0,30,322,48,0,0,-1,google,what cms is this,Informational,7
https://pressable.com/blog/7-places-to-include-search-engine-optimization-seo-keywords-on-your-website/,4.25,219,235,0,5,123,0,0,0,11,224,0,0,0,-60,"google, google-ai",where to put seo keywords,Informational,42
https://my.pressable.com/,3.76,8,208,0,0,0,4,5,0,0,0,208,208,0,-4,google,pressable login,Transactional,1
https://pressable.com/careers/,2.94,8,163,0,2,0,0,0,0,163,0,0,0,0,24,,pressable careers,Commercial,0
https://pressable.com/blog/head-to-head-performance-comparison-of-nginx-and-apache/,2.29,19,127,0,11,5,0,0,0,113,15,0,0,0,12,"google, google-ai",nginx vs apache,Commercial,6
https://pressable.com/knowledgebase/accessing-wordpress-error-logs/,1.08,7,60,0,0,7,0,0,0,0,60,0,0,0,8,google,wordpress error logs,Informational,1
https://pressable.com/knowledgebase/differences-between-php-versions/,1.01,42,56,0,0,33,2,6,0,0,56,0,13,0,32,google,recent version of php,Informational,1
https://pressable.com/knowledgebase/wordpress-site-down-common-issues-and-fixes/,1.01,44,56,0,0,35,1,0,0,0,56,0,0,0,0,"gemini, google, google-ai",wordpress down,Informational,8
https://pressable.com/knowledgebase/understanding-and-troubleshooting-admin-ajax-php-in-wordpress/,0.95,25,53,0,0,25,0,0,0,0,53,0,0,0,-40,"google, google-ai",admin-ajax.php,Informational,10
https://pressable.com/knowledgebase/fix-elementor-server-error-500-error-when-saving-posts/,0.79,10,44,0,0,7,0,0,0,0,44,0,0,0,9,"google, google-ai, search-gpt",server error 500 elementor,Informational,5
https://pressable.com/knowledgebase/php-7-4to-8-update-faq/,0.77,13,43,0,0,13,1,0,0,0,43,0,0,0,1,search-gpt,latest php version,Informational,2
https://pressable.com/blog/how-much-does-wordpress-hosting-cost/,0.61,116,34,0,10,51,22,32,0,0,18,2,15,0,-11,"google, google-ai",wordpress pricing,Informational,19
https://pressable.com/blog/wordpress-php-compatibility/,0.59,32,33,0,1,25,2,1,0,2,33,0,0,0,-8,google,wordpress 6.8.1 php version,Informational,5
https://pressable.com/pricing/,0.57,13,32,0,0,0,2,1,0,0,0,32,32,0,0,"google-ai, search-gpt",pressable pricing,Navigational,3
https://pressable.com/blog/wordpress-local-seo/,0.52,8,29,0,2,5,0,0,0,0,29,0,0,0,8,"google, google-ai",local seo wordpress,Informational,8
