Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
pressable,1,1,1600,65,13.72,https://pressable.com/,1280,23.15,17561.00,0.27,0,"66, 66, 66, 66, 79, 79, 66, 54, 54, 41, 79, 79",2026-07-02,"Sitelinks, Reviews, Video, Ads top, Video Carousel, People also ask, Related searches",navigational,Organic
wordpress news,5,6,40500,55,11.54,https://pressable.com/blog/category/wordpress-news/,1215,21.97,14021.00,0.24,37,"0, 0, 0, 2, 66, 100, 81, 44, 13, 0, 0, 1",2026-07-23,"People also ask, Related searches, AI overview",informational,Organic
pressable login,1,1,170,28,0.00,https://my.pressable.com/,136,2.46,0.00,0.33,101,"43, 29, 35, 35, 29, 43, 66, 22, 22, 100, 18, 22",2026-06-17,"Sitelinks, Video, Related searches","navigational, transactional",Organic
pressable careers,1,1,170,21,1.53,https://pressable.com/careers/,136,2.46,208.00,0.07,109,"100, 80, 66, 80, 52, 80, 80, 66, 100, 66, 80, 80",2026-07-20,"Reviews, Jobs search, Related searches",commercial,Organic
gpl,1,1,6600,50,5.77,https://pressable.com/blog/what-is-gpl/,115,2.08,663.00,0.01,125,"29, 36, 36, 36, 36, 36, 44, 44, 54, 44, 44, 44",2026-07-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Things to know
nginx vs apache,3,3,1300,35,1.22,https://pressable.com/blog/head-to-head-performance-comparison-of-nginx-and-apache/,84,1.51,102.00,0.01,124,"66, 36, 36, 41, 41, 41, 54, 54, 54, 54, 54, 54",2026-06-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
pressable hosting,1,1,90,37,11.58,https://pressable.com/,72,1.3,833.00,0.46,121,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",2026-06-28,"Sitelinks, Reviews, Video, Ads top, People also ask, Related searches, Discussions and forums",navigational,Organic
my pressable,1,1,90,26,0.00,https://my.pressable.com/,72,1.3,0.00,0.26,102,"7, 7, 7, 7, 7, 100, 100, 100, 7, 7, 7, 7",2026-05-31,"Video, Ads top, Ads bottom, People also ask, Related searches","navigational, transactional",Organic
best managed wordpress hosting,1,0,1300,57,29.54,https://pressable.com/,45,0.81,1329.00,0.22,33,"30, 30, 55, 65, 44, 20, 44, 44, 65, 11, 30, 100",2026-07-22,"Sitelinks, Video, Related searches, AI overview",commercial,AI overview
what cms is this,8,8,1900,26,4.86,https://pressable.com/web-tools/cms-detector/,45,0.81,218.00,0.02,118,"15, 13, 19, 15, 19, 15, 13, 13, 23, 19, 23, 8",2026-07-22,"Reviews, Video, Related searches",informational,Organic
cms detector,7,7,1900,31,2.59,https://pressable.com/web-tools/cms-detector/,41,0.74,106.00,0.02,18,"52, 44, 52, 52, 66, 80, 100, 80, 24, 52, 27, 20",2026-07-20,"Sitelinks, Reviews, People also ask, Related searches",navigational,Organic
latest php version,1,1,1000,70,0.00,https://pressable.com/knowledgebase/php-7-4to-8-update-faq/,41,0.74,0.00,0.33,136,"31, 84, 100, 68, 68, 46, 46, 37, 37, 100, 46, 52",2026-06-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
what cms is,2,2,1000,45,7.89,https://pressable.com/web-tools/cms-detector/,41,0.74,323.00,0.03,161,"54, 3, 3, 10, 7, 7, 7, 5, 10, 2, 4, 5",2026-06-02,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,People also ask
gpl 1,1,1,5400,66,9.57,https://pressable.com/blog/what-is-gpl/,37,0.66,354.00,1,20,"13, 15, 54, 36, 100, 36, 66, 36, 44, 23, 36, 44",2026-07-21,"Video, People also ask, Popular products, Related searches, AI overview",informational,AI overview
gpl license,5,5,2400,51,5.81,https://pressable.com/blog/what-is-gpl/,36,0.65,209.00,0.33,131,"80, 80, 80, 52, 80, 66, 66, 66, 66, 66, 66, 66",2026-07-17,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Things to know
pressable pricing,1,1,40,29,24.33,https://pressable.com/pricing/,32,0.57,778.00,0.33,97,"28, 35, 28, 14, 14, 14, 14, 14, 100, 14, 14, 14",2026-06-04,"Video, People also ask, Related searches","navigational, transactional",Organic
server error 500 elementor,3,3,1300,19,0.00,https://pressable.com/knowledgebase/fix-elementor-server-error-500-error-when-saving-posts/,31,0.56,0.00,0,107,"44, 35, 0, 54, 0, 35, 44, 0, 0, 0, 0, 0",2026-06-26,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
wordpress down,4,4,480,27,0.00,https://pressable.com/knowledgebase/wordpress-site-down-common-issues-and-fixes/,31,0.56,0.00,0.01,129,"68, 16, 16, 16, 16, 16, 25, 20, 20, 20, 20, 25",2026-05-29,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
wordpress error logs,3,3,720,31,0.00,https://pressable.com/knowledgebase/accessing-wordpress-error-logs/,31,0.56,0.00,0,102,"66, 80, 1, 80, 3, 0, 0, 0, 1, 1, 1, 1",2026-06-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
general public license,4,4,1600,65,5.96,https://pressable.com/blog/what-is-gpl/,30,0.54,178.00,0.01,135,"43, 22, 16, 36, 54, 36, 29, 13, 29, 100, 36, 20",2026-06-11,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
gnu public license,4,4,1300,53,4.77,https://pressable.com/blog/what-is-gpl/,28,0.5,133.00,0.33,133,"66, 36, 24, 20, 52, 27, 24, 36, 20, 44, 20, 24",2026-06-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pressable jobs,1,1,110,16,7.26,https://pressable.com/careers/,27,0.48,196.00,0.02,115,"22, 43, 35, 35, 14, 29, 35, 8, 14, 18, 10, 14",2026-06-23,"Reviews, Jobs search, People also ask, Related searches",commercial,Organic
presable,1,1,110,45,21.42,https://pressable.com/,27,0.48,578.00,0.26,137,"29, 23, 54, 23, 0, 0, 23, 0, 0, 15, 12, 23",2026-06-04,"Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",informational,Organic
dnsmadeeasy,4,10,1900,27,4.68,https://pressable.com/knowledgebase/dns-made-easy-and-pressable/,26,0.47,121.00,0.02,115,"43, 43, 54, 36, 54, 43, 43, 36, 22, 36, 43, 36",2026-07-22,"Knowledge panel, Sitelinks, Reviews, People also ask, Related searches",navigational,Organic
pressables,1,1,30,28,13.72,https://pressable.com/,24,0.43,329.00,0.27,15700,"23, 23, 23, 23, 0, 0, 0, 100, 0, 0, 0, 0",2026-06-29,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
pressable wordpress,1,1,30,14,12.85,https://pressable.com/,24,0.43,308.00,0.52,8,"1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1",2026-07-20,"Image pack, Sitelinks, Video Carousel, People also ask, Related searches, AI overview",navigational,Organic
pressable web hosting,1,1,30,11,11.58,https://pressable.com/,24,0.43,277.00,0.46,127,"9, 9, 18, 27, 9, 27, 45, 18, 0, 63, 36, 45",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",navigational,Organic
pressable wordpress hosting,1,1,30,12,15.53,https://pressable.com/,24,0.43,372.00,0.16,120,"6, 4, 10, 10, 4, 4, 4, 4, 4, 8, 10, 10",2026-07-20,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Discussions and forums",navigational,Organic
