URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://railway.com/,58.38,506,19978,119,20,191,105,27,0,1490,10622,9474,1021,0,-2039,"google, google-ai, search-gpt",railway,Informational,40
https://status.railway.com/,11.85,144,4057,0,1,19,7,2,0,13,720,3336,256,0,-220,,railway status,Informational,0
https://railway.com/pricing,4.82,126,1651,0,13,31,13,15,0,105,482,1050,655,0,228,"gemini, google, google-ai, search-gpt",railway pricing,Informational,8
https://docs.railway.com/,2.34,154,801,0,6,39,14,7,0,16,518,283,104,0,62,"google, google-ai, search-gpt",railway,Informational,4
https://station.railway.com/,2.05,133,703,0,3,15,5,3,0,219,284,200,32,0,-707,,railway station,Informational,0
https://docs.railway.com/cli,1.6,49,548,0,0,14,3,2,0,0,526,23,0,0,-29,"gemini, google",railway cli,Informational,2
https://docs.railway.com/guides/rails,1.54,147,529,0,6,43,5,2,0,5,527,0,0,0,51,"gemini, google, search-gpt",railway ruby,Informational,11
https://railway.com/careers,1.4,59,480,0,24,12,1,0,0,447,69,2,0,0,-23,,railway careers,Commercial,0
https://docs.railway.com/cli/login,0.86,10,296,0,0,0,4,4,0,0,0,296,296,0,181,google,railway online login,"Transactional, Navigational",1
https://docs.railway.com/templates,0.84,12,288,0,0,4,2,0,0,0,40,248,0,0,44,,railway templates,Informational,0
https://docs.railway.com/deployments/scaling,0.63,8,218,0,0,1,0,1,0,0,218,0,218,0,0,,railway scaling,"Transactional, Informational",0
https://railway.com/deploy/sibk1f,0.63,18,216,0,0,3,0,0,0,0,216,0,0,0,0,,railway ruby,Informational,0
https://railway.com/deploy/cf-tunnel,0.6,2,208,0,0,1,0,0,0,0,208,0,0,0,208,"google, google-ai",cloudflare railway,Informational,2
https://railway.com/deploy/joplin,0.59,13,202,0,1,4,8,1,0,0,2,198,2,0,200,,joplin,Navigational,0
https://railway.com/deploy/n8n,0.58,17,201,0,0,2,5,0,0,0,32,201,0,0,-64,google,railway n8n,Navigational,1
https://railway.com/mcp,0.52,4,181,0,2,1,0,0,0,3,178,0,0,0,181,,railway mcp,Commercial,0
https://docs.railway.com/guides/add-a-cdn-using-cloudfront,0.49,3,168,0,0,1,0,0,0,0,168,0,0,0,0,,railway cdn,Informational,0
https://blog.railway.com/,0.41,115,143,0,2,25,10,4,0,1,92,5,0,0,25,search-gpt,does rilvi.com have a blog,Informational,1
https://docs.railway.com/public-networking,0.35,4,122,0,0,3,0,0,0,0,122,0,0,0,0,,railway backend port,Informational,0
https://docs.railway.com/observability/logs,0.29,16,100,0,0,8,0,0,0,0,100,0,0,0,52,,railway logging,Informational,0
https://docs.railway.com/quick-start,0.28,84,99,0,0,27,9,0,0,0,92,21,0,0,25,"gemini, google, google-ai, search-gpt",how does railway work,Informational,14
https://docs.railway.com/integrations/api,0.28,8,97,0,0,4,0,0,0,0,97,0,0,0,1,search-gpt,railway api,Informational,1
https://railway.com/deploy/cobalt,0.28,41,97,0,2,28,7,1,0,19,75,5,2,0,45,"gemini, google, search-gpt",cobalt.tools,Informational,4
https://railway.com/deploy/neo4j-graph-database,0.27,11,93,0,0,11,1,0,0,0,93,0,0,0,88,google,bolt://localhost:7687,Informational,3
https://railway.com/deploy/uptimekuma,0.26,6,91,0,1,4,0,0,0,0,91,0,0,0,85,"google, google-ai",uptime kuma,Informational,8
https://docs.railway.com/builds,0.25,12,86,0,0,5,0,0,0,0,86,0,0,0,14,google,railway build,Informational,1
https://railway.com/features,0.22,76,78,0,0,4,4,3,0,0,77,1,77,0,1,"gemini, google, search-gpt",railway scaling,"Navigational, Informational",8
https://railway.com/deploy/jaeger,0.22,7,76,0,0,2,4,0,0,0,74,74,0,0,20,,jaeger tracing,Navigational,0
https://docs.railway.com/ai/mcp-server,0.2,7,70,0,2,4,0,0,0,9,61,0,0,0,25,,railway mcp,Informational,0
https://railway.com/deploy,0.19,63,68,0,0,1,2,0,0,0,64,4,0,0,1,,railway marketplace,Navigational,0
https://docs.railway.com/pricing/free-trial,0.19,20,67,0,2,12,2,4,0,0,67,0,53,0,-8,,railway.app,Informational,0
https://docs.railway.com/databases/postgresql,0.18,34,64,0,0,7,0,1,0,0,64,0,52,0,-62,"google, google-ai",railway postgres,Informational,4
https://docs.railway.com/networking/domains,0.16,9,56,0,0,3,0,1,0,0,56,0,56,0,56,,railway domains,Informational,0
https://railway.com/deploy/5HAMxu,0.16,1,56,0,0,1,0,0,0,0,56,0,0,0,0,,rust railway,Informational,0
https://railway.com/deploy/paymenter-or-open-source-billing,0.16,5,55,0,0,2,1,0,0,0,55,0,0,0,0,,paymenter,Informational,0
https://docs.railway.com/platform/compare-to-vercel,0.15,22,53,0,6,4,2,1,0,41,31,3,3,0,21,"google-ai, search-gpt",railway vs vercel,Commercial,2
https://docs.railway.com/cli/connect,0.15,6,52,0,0,4,0,0,0,0,52,0,0,0,13,search-gpt,railway connect,Informational,1
https://docs.railway.com/volumes/reference,0.13,11,46,0,0,1,0,1,0,0,6,0,40,0,-3,,railway persistent storage,"Transactional, Informational",0
https://docs.railway.com/observability,0.11,5,41,0,0,2,0,0,0,0,41,0,0,0,28,,railway monitoring,Informational,0
https://docs.railway.com/platform/support,0.11,85,40,0,0,7,1,0,0,0,35,5,0,0,19,,railway customer service,Informational,0
https://railway.com/deploy/refferq,0.11,1,39,0,0,1,0,0,0,0,39,0,0,0,39,,refferq,Informational,0
https://blog.railway.com/p/launch-week-01-horizontal-scaling,0.11,1,38,0,0,1,0,1,0,0,38,0,38,0,0,,railway scaling,"Transactional, Informational",0
https://railway.com/deploy/no-as-a-service,0.11,6,38,0,0,6,0,0,0,0,38,0,0,0,25,,no as a service,Informational,0
https://docs.railway.com/networking/troubleshooting/application-failed-to-respond,0.1,4,37,0,0,4,0,0,0,0,37,0,0,0,-39,"google, google-ai",railway error 502,Informational,6
https://docs.railway.com/platform,0.1,64,36,0,0,7,0,0,0,0,36,0,0,0,27,"google, google-ai, search-gpt",platform railway,Informational,4
https://railway.com/deploy/kali-linux-web-terminal,0.1,33,35,0,0,16,9,1,0,0,26,9,0,0,8,google,online terminal,Informational,1
https://railway.com/deploy/supabase,0.09,20,33,0,1,2,2,0,0,1,0,32,0,0,33,,supabase/railway,"Navigational, Informational",0
https://docs.railway.com/pricing/plans,0.09,39,33,0,4,13,4,8,0,3,26,4,18,0,18,"google, google-ai, search-gpt",railway plans,Informational,7
https://railway.com/deploy/postgres,0.09,15,32,0,0,2,0,1,0,0,32,0,27,0,-3,,railway postgres,Informational,0
https://railway.com/deploy/navidrome,0.09,8,31,0,0,4,5,2,0,0,16,15,0,0,-37,"google, google-ai",navidrone,Navigational,2
https://railway.com/deploy/pyrodactyl,0.09,2,31,0,0,2,0,0,0,0,31,0,0,0,0,,pyrodactyl,Informational,0
https://docs.railway.com/deployments/serverless,0.07,7,27,0,0,1,0,0,0,0,27,0,0,0,10,,railway serverless,Informational,0
https://railway.com/deploy/presenton-ai-presentations,0.07,1,25,0,0,1,0,0,0,0,25,0,0,0,0,,web3-matrix-presentation-v2.railway.internal,Informational,0
