URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://render.com/,92.33,472,89257,7,20,200,128,48,0,627,4375,84552,1766,0,15597,"gemini, google, google-ai, search-gpt",render,Informational,75
https://render.com/pricing,1.05,130,1015,0,5,53,30,46,0,5,463,391,813,0,-913,"google, google-ai, search-gpt",render free tier,Informational,13
https://dashboard.render.com/,0.72,110,696,0,1,18,12,10,0,0,51,627,77,0,85,google,render dashboard,Informational,1
https://render.com/careers,0.46,8,449,0,4,0,1,0,0,449,0,0,0,0,-2,search-gpt,render careers,Commercial,2
https://status.render.com/,0.34,46,330,0,0,10,6,3,0,0,44,286,112,0,1,,is render.com down,Informational,0
https://render.com/docs/free,0.32,136,313,0,13,69,29,42,0,8,250,63,232,0,104,"gemini, google, search-gpt",render free tier web service 2026,Informational,23
https://render.com/articles/render-vs-railway,0.3,82,297,0,20,33,30,8,0,160,160,32,69,0,40,"gemini, google, google-ai, search-gpt",railway scaling,Informational,19
https://render.com/docs/postgresql,0.23,15,231,0,0,6,1,1,0,0,119,112,112,0,87,"google-ai, search-gpt",render postgres,Informational,3
https://render.com/docs/web-services,0.23,80,224,0,0,28,14,12,0,0,162,62,57,0,193,"google, google-ai, search-gpt",render official deploy web services,Informational,12
https://render.com/articles/platforms-with-a-real-free-tier-for-developers-in-2026,0.22,44,216,0,1,26,12,24,0,0,209,7,200,0,186,"gemini, google, google-ai, search-gpt",render free tier 2026,Informational,16
https://render.com/docs/static-sites,0.21,118,208,0,21,49,2,0,0,48,166,2,0,0,-2,"google, google-ai",static site,Informational,17
https://render.com/docs/mcp-server,0.2,20,200,0,0,4,0,2,0,0,200,0,32,0,28,,render mcp,Informational,0
https://render.com/docs/cli,0.17,25,170,0,0,5,3,1,0,0,169,1,0,0,1,google,render cli,Informational,2
https://render.com/docs/deploy-django,0.15,65,154,0,10,42,5,0,0,13,152,0,0,0,4,"google, google-ai, search-gpt",render django,Informational,22
