Domain,Competitor Relevance,Common Keywords,Organic Keywords,Organic Traffic,Organic Cost,Adwords Keywords
pantheon.io,0.12,229,8760,26638,125722.00,145
rtcamp.com,0.11,55,1131,1522,17229.00,0
multidots.com,0.1,55,2023,973,13068.00,0
pressable.com,0.09,150,3620,5528,47909.00,144
developress.io,0.07,35,561,578,444.00,0
kanukadigital.com,0.06,14,611,473,2821.00,0
bigscoots.com,0.06,38,1056,2351,3932.00,2
filter.agency,0.06,15,223,58,118.00,0
humanmade.com,0.05,20,379,373,9837.00,0
illustrate.digital,0.05,31,546,496,1218.00,0
pressidium.com,0.05,103,4692,6386,9921.00,0
defyn.com.au,0.05,71,2036,2155,9985.00,0
patchstack.com,0.05,53,2045,3014,7628.00,0
wpengine.com,0.05,337,121731,100980,394289.00,1596
automattic.com,0.04,35,1654,22552,82429.00,0
storyware.co,0.04,6,191,39,35.00,0
coremedia.com,0.04,40,2312,3044,30155.00,0
seline.com,0.04,40,1062,501,4382.00,0
dotcms.com,0.04,49,2583,3671,24168.00,0
syde.com,0.04,8,154,201,485.00,0
seravo.com,0.04,51,393,678,80.00,0
wordpress.org,0.04,604,186053,472068,1819745.00,43
belovdigital.agency,0.04,36,1892,248,1028.00,11
melapress.com,0.04,32,1308,255,570.00,0
wptavern.com,0.04,52,1821,871,1940.00,0
wp-umbrella.com,0.04,43,1480,977,7104.00,0
wordify.com,0.04,27,342,280,443.00,0
wpriders.com,0.03,17,569,520,1061.00,0
oshyn.com,0.03,17,1096,1492,21635.00,28
webhelpagency.com,0.03,19,2227,1078,2909.00,0
raidboxes.io,0.03,36,1590,881,2523.00,0
olliewp.com,0.03,38,226,536,185.00,0
pagely.com,0.03,27,2605,971,12702.00,5
fellowship.agency,0.03,20,143,29,151.00,0
wpexperts.io,0.03,59,9589,1306,4866.00,4
transferito.com,0.03,11,230,91,766.00,0
wp-kama.com,0.03,26,1590,915,921.00,0
jetpack.com,0.03,93,16800,14757,49736.00,0
gatsbyjs.com,0.03,30,1729,4876,12078.00,0
webdevstudios.com,0.03,27,2607,6853,84770.00,0
sitecare.com,0.03,24,1091,644,2862.00,0
wpmudev.com,0.03,81,7964,5527,25989.00,0
foozagency.com,0.03,26,485,196,914.00,0
hostwp.io,0.03,32,550,122,263.00,0
wpmarmite.com,0.03,79,6962,5810,14931.00,0
zealousweb.com,0.03,8,1546,191,402.00,0
brightspot.com,0.03,34,2345,15108,28842.00,711
contentful.com,0.03,102,15348,50281,225185.00,142
deliciousbrains.com,0.03,44,1757,3079,9119.00,0
itineris.co.uk,0.03,10,480,48,232.00,0
xwp.co,0.03,39,201,310,1196.00,0
wpmailsmtp.com,0.03,51,4790,9055,46343.00,61
wplift.com,0.02,31,4943,1874,13935.00,0
altagency.co.uk,0.02,18,678,564,1742.00,0
claritydx.global,0.02,18,306,167,274.00,0
torquemag.io,0.02,17,2839,2047,19581.00,0
strapi.io,0.02,57,11570,27507,104442.00,8
vipestudio.com,0.02,6,264,9,110.00,0
therepository.email,0.02,27,508,125,107.00,0
tinyblueorange.com,0.02,15,216,6,2.00,0
digitalhitmen.com.au,0.02,7,309,241,506.00,0
iflair.com,0.02,12,1366,763,987.00,0
mainwp.com,0.02,18,1095,1031,885.00,0
simpleanalytics.com,0.02,27,2345,36028,208717.00,0
geobrand.co.uk,0.02,7,47,35,0.00,0
cloudways.com,0.02,133,31106,34315,710210.00,109
cleardigital.com,0.02,17,2246,1282,5501.00,0
brightvessel.com,0.02,5,629,170,793.00,0
thepublive.com,0.02,8,468,126,182.00,0
parse.ly,0.02,34,2404,5747,22974.00,217
codeable.io,0.02,47,4448,4145,45002.00,0
wordfence.com,0.02,39,3863,10149,26951.00,0
fatlabwebsupport.com,0.02,29,2021,2346,8703.00,0
aztekweb.com,0.02,15,2428,1056,7031.00,0
contentstack.com,0.02,51,12460,17185,70097.00,840
wpscan.com,0.02,32,2297,3409,8961.00,0
seosly.com,0.02,18,4426,1521,3475.00,0
cmsminds.com,0.02,35,5829,2481,17699.00,0
wp-rocket.me,0.02,42,6303,24741,47753.00,3
softwarium.net,0.02,7,206,11,148.00,0
krystal.io,0.02,28,1949,1608,5932.00,17
altis-dxp.com,0.02,7,168,62,170.00,0
dxpscorecard.com,0.02,4,262,10,64.00,0
sitecore.com,0.02,58,20568,22885,197928.00,72
reclaimhosting.com,0.02,19,1599,1907,6253.00,0
wp-content.co,0.02,14,969,202,1159.00,0
tommcfarlin.com,0.02,16,1025,594,1658.00,0
kreativagroup.com,0.02,11,323,172,1945.00,0
ecommercefuel.com,0.02,10,1242,1327,5084.00,0
pixelmattic.com,0.02,3,410,9,88.00,0
kontent.ai,0.02,33,3061,7193,33849.00,147
spinupwp.com,0.02,22,734,819,2374.00,0
osomstudio.com,0.02,3,180,27,4.00,0
lambagency.com.au,0.02,4,116,10,0.00,0
wpconnect.co,0.02,18,720,1124,2709.00,0
advancedcustomfields.com,0.02,28,2476,6868,34043.00,5
whitelabelcoders.com,0.01,13,1854,796,5161.00,0
pootlepress.com,0.01,6,539,48,72.00,0
rudrastyh.com,0.01,18,815,624,406.00,0
