URL,Traffic (%),Number of Keywords,Traffic,Adwords Positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic Change,Answer Engines,Top Keyword,Primary Intent,LLM Prompts
https://wpvip.com/,24.93,144,1551,7,5,52,22,3,0,9,250,1332,0,0,7,"google, google-ai, search-gpt",wordpress vip,Informational,18
https://docs.wpvip.com/security-controls/robots-txt/,13.24,41,824,0,2,31,1,0,0,25,821,0,0,0,103,"google, search-gpt",wordpress robots.txt,Informational,10
https://wpvip.com/pricing/,8.53,23,531,1,0,4,2,2,0,0,10,385,136,0,21,"google, search-gpt",wordpress vip business plan pricing 2026,Informational,5
https://wpvip.com/partners/,4.63,12,288,0,1,5,4,0,0,12,235,249,0,0,12,"gemini, google-ai, search-gpt",wordpress vip partners,Informational,7
https://wpvip.com/partners/agency-partners/,4.53,17,282,1,3,9,2,0,0,5,154,124,0,0,22,"google, google-ai, search-gpt",wordpress vip agency,Informational,3
https://wpvip.com/glossary/website-migration/,2.74,40,171,1,2,39,0,0,0,4,171,0,0,0,29,google,what is website migration,Informational,14
https://wpvip.com/blog/wordpress-6-7/,1.99,44,124,3,0,36,0,1,0,0,124,0,0,0,-96,,wordpress 6.7 release news,Informational,0
https://wpvip.com/wordpress-platform/,1.94,31,121,0,3,14,0,0,0,13,121,0,0,0,-30,google,enterprise wordpress hosting,Informational,3
https://wpvip.com/partner/sophi/,1.91,5,119,0,0,2,0,0,0,0,119,0,0,0,56,,sophi,Informational,0
https://wpvip.com/blog/wordpress-multisite/,1.7,52,106,0,4,33,1,0,0,31,75,0,0,0,24,google,wordpress multisite vs drupal multisite comparison pros cons,Informational,8
https://learn.wpvip.com/certification/,1.6,18,100,0,9,10,1,0,0,91,89,0,0,0,30,"google, google-ai",wordpress certification,Informational,2
https://docs.wpvip.com/vip-go-mu-plugins/,1.6,6,100,0,0,6,0,0,0,0,100,0,0,0,82,,vipplugin,Informational,0
https://wpvip.com/blog/web-analytics-software-tools/,1.39,101,87,0,45,39,0,0,0,75,22,0,0,0,-19,"google, google-ai",company website analysis for software focus,Commercial,28
https://wpvip.com/headless-wordpress/,1.28,41,80,1,0,23,1,0,0,0,80,0,0,0,-50,google,wordpress headless,Informational,6
https://docs.wpvip.com/security-controls/wordpress/enforce-2fa/,1.02,38,64,0,3,33,2,2,0,5,41,19,6,0,-10,"google, google-ai, search-gpt",2fa vip,Informational,12
https://wpvip.com/wordpress-gutenberg/,1.01,22,63,4,0,15,4,0,0,0,63,0,0,0,-7,google,gutenberg wordpress,Informational,1
https://docs.wpvip.com/domains/check-dns-record-time-to-live/,0.96,47,60,0,2,37,0,0,0,0,60,0,0,0,24,google,dns ttl,Informational,6
https://wpvip.com/resource/sitecore-vs-wordpress-vip/,0.7,38,44,0,5,18,6,1,0,33,11,7,0,0,27,"google, google-ai",sitecore vs wordpress,Informational,2
https://docs.wpvip.com/databases/import/,0.7,7,44,0,0,5,0,0,0,0,44,0,0,0,-14,google,database importer,Informational,1
https://wpvip.com/glossary/core-web-vitals/,0.64,28,40,0,0,16,0,0,0,0,40,0,0,0,-132,,web-vitals,Informational,0
https://docs.wpvip.com/wordpress-on-vip/wordpress-rest-api/,0.61,47,38,0,0,30,13,0,0,0,33,17,0,0,9,google,wp-json/wp/v2/users,Informational,13
https://wpvip.com/glossary/digital-asset-management/,0.59,8,37,0,0,6,0,0,0,0,37,0,0,0,-2,,wordpress digital asset management,Informational,0
https://wpvip.com/resource/wp-engine-vs-wordpress-vip/,0.57,38,36,0,11,13,10,2,0,7,7,29,0,0,-154,"google, google-ai",wordpress vip business plan pricing 2024,Informational,6
https://docs.wpvip.com/vip-file-system/media-uploads/,0.54,5,34,0,0,5,0,0,0,0,34,0,0,0,6,,wp-content/uploads,Informational,0
https://docs.wpvip.com/plugins/,0.54,5,34,0,0,4,0,2,0,0,34,0,1,0,25,google,vip plugin,Informational,1
https://wpvip.com/glossary/digital-experience-platform/,0.51,52,32,0,2,11,0,0,0,12,20,0,0,0,0,google,wordpress dxp,Informational,3
https://wpvip.com/wordpress-management/,0.45,3,28,5,0,2,0,0,0,0,28,0,0,0,-4,,wordpress management,Informational,0
https://docs.wpvip.com/caching/object-cache/,0.45,13,28,0,0,13,0,0,0,0,28,0,0,0,1,"google, search-gpt",wordpress object cache,Informational,2
https://wpvip.com/resource/what-you-need-to-know-about-agile-cms/,0.43,2,27,0,0,2,0,0,0,0,27,0,0,0,16,,agile cms,Informational,0
https://docs.wpvip.com/vip-cli/wp-cli-with-vip-cli/search-replace/,0.43,12,27,0,0,11,0,0,0,0,27,0,0,0,0,"google, google-ai",wp search replace,Informational,10
https://wpvip.com/resource/content-marketing-strategy-guide/,0.41,9,26,0,0,7,0,0,0,0,26,0,0,0,-1,google,content marketing for business growth,Informational,1
https://docs.wpvip.com/wordpress-on-vip/wordpress-upgrades/,0.41,17,26,0,0,14,2,0,0,0,25,1,0,0,2,google,current wordpress version,Informational,1
https://wpvip.com/resource/how-to-achieve-personalization-with-enterprise-wordpress/,0.41,6,26,0,0,6,0,0,0,0,26,0,0,0,-3,google-ai,wordpress content personalization,Informational,1
https://wpvip.com/partner-application/,0.4,7,25,0,1,3,3,0,0,0,24,7,0,0,0,search-gpt,wordpress partner,"Navigational, Informational",1
https://docs.wpvip.com/wordpress-on-vip/cron-control/,0.4,31,25,0,8,15,2,0,0,11,16,0,0,0,-9,google,wordpress wp-cron documentation,Informational,1
https://wpvip.com/resource/headless-cms-guide/,0.38,39,24,2,0,25,0,0,0,0,24,0,0,0,11,google,wordpress as headless cms,Informational,4
https://wpvip.com/blog/omnichannel-content-management/,0.36,18,23,0,1,16,0,0,0,0,23,0,0,0,5,"google, google-ai, search-gpt",omnichannel cms,Informational,7
https://docs.wpvip.com/parse-ly/parsely-features/,0.35,6,22,0,0,1,3,2,0,0,0,22,0,0,22,google-ai,parsely,Navigational,1
https://docs.wpvip.com/vip-cli/commands/dev-env/,0.35,2,22,0,0,1,1,0,0,0,22,0,0,0,11,,vip dev,"Navigational, Informational",0
https://docs.wpvip.com/security-controls/wordpress/sso/,0.35,11,22,0,2,7,2,2,0,8,11,3,3,0,3,"google, google-ai",wordpress sso,Informational,4
https://wpvip.com/resources/ebooks/achieve-personalization-with-enterprise-wordpress/,0.35,1,22,0,0,1,0,0,0,0,22,0,0,0,22,,wordpress personalization,Informational,0
https://customerhub.wpvip.com/lobby/2025/02/11/wordpress-6-7-2-maintenance-release/,0.33,10,21,0,1,3,0,0,0,0,21,0,0,0,18,,6.7/2,Informational,0
https://docs.wpvip.com/vip-file-system/image-files/intermediate-images/,0.32,1,20,0,0,1,0,0,0,0,20,0,0,0,20,,wordpress 图像中间一条线,Informational,0
https://wpvip.com/platform-sla/,0.32,3,20,0,0,3,0,0,0,0,20,0,0,0,0,,wordpress sla,Informational,0
https://docs.wpvip.com/wordpress-skeleton/plugins-directory/,0.3,27,19,0,8,18,5,0,0,3,12,5,0,0,4,,wp plugin,Informational,0
