Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Keyword Intents,URL,Traffic Change,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,Position Type,Keyword SERP Features (New),Keyword SERP Features (Lost)
cartoon network homepage,0,1,1900,60,0.00,informational,https://wpvip.com/blog/cartoon-network-wordpress/,-506,0,0.00,0,80800000,"100, 2, 24, 24, 24, 28, 28, 1, 10, 19, 19, 66",2026-03-15,Image pack,,
wordpress vip business plan pricing 2026,1,0,480,,0.00,navigational,https://wpvip.com/pricing/,384,6.08,0.00,0,19800000,"100, 21, 0",2026-05-29,Organic,,
wordpress enterprise,1,1,390,35,27.43,informational,https://wpvip.com/,-205,0.8,1398.00,0.28,104,"54, 54, 54, 44, 44, 44, 44, 66, 100, 66, 66, 81",2026-07-01,Organic,"People also ask, AI overview",
sophi,2,0,2900,35,9.23,informational,https://wpvip.com/partner/sophi/,188,2.98,1735.00,0.1,124,"66, 66, 80, 66, 66, 80, 80, 100, 80, 80, 66, 80",2026-07-01,Organic,,
wordpress,0,15,201000,97,2.70,navigational,https://wpvip.com/,-160,0,0.00,0.53,605000000,"66, 66, 66, 66, 54, 54, 54, 54, 66, 54, 54, 44",2026-03-15,Organic,,
wordpress vip business plan pricing 2025,1,1,170,15,0.00,informational,https://wpvip.com/pricing/,-132,0.06,0.00,0,95,100,2026-05-21,Organic,People also ask,
wordpress vip pricing,1,1,140,17,21.07,transactional,https://wpvip.com/pricing/,109,1.77,2359.00,0.58,100,"19, 19, 26, 42, 53, 34, 80, 65, 80, 80, 100, 15",2026-05-27,Organic,,
wordpress robots txt,1,1,1300,38,1.11,informational,https://docs.wpvip.com/security-controls/robots-txt/,94,2.71,189.00,0.33,1460000,"13, 5, 8, 10, 8, 16, 13, 44, 13, 100, 8, 29",2026-06-18,Organic,Video Carousel,People also ask
wordpress partner,4,1,140,14,30.01,informational,https://wpvip.com/partners/,-79,0.14,270.00,0.2,108,"34, 43, 34, 53, 53, 34, 53, 6, 65, 65, 34, 28",2026-06-24,Organic,People also ask,
vipplugin,10,38,3600,33,0.00,informational,https://docs.wpvip.com/plugins/installing-plugins/,77,1.25,0.00,0.33,65,"8, 20, 24, 0, 2, 7, 10, 2, 8, 4, 3, 3",2026-06-28,Organic,,
