Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
wordpress vip,1,1,1000,28,28.09,https://wpvip.com/,800,12.86,22472.00,0.51,0,"62, 55, 55, 55, 62, 62, 55, 55, 62, 62, 55, 55",2026-07-04,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
wordpress vip business plan pricing 2026,1,1,480,,0.00,https://wpvip.com/pricing/,384,6.17,0.00,0,19800000,"100, 21, 0",2026-05-29,"Video, People also ask, Related searches",navigational,Organic
wordpress robots.txt,1,1,1900,38,2.53,https://docs.wpvip.com/security-controls/robots-txt/,250,4.01,632.00,0.33,102,"3, 3, 7, 7, 28, 19, 15, 100, 5, 54, 10, 100",2026-07-16,"Sitelinks, Reviews, Video, Video Carousel, AI overview",informational,Organic
wordpress vip partners,1,1,260,19,36.34,https://wpvip.com/partners/,208,3.34,7558.00,0.24,145,"28, 43, 43, 66, 66, 82, 82, 43, 82, 100, 66, 66",2026-06-08,"Sitelinks, Video, People also ask","informational, navigational",Organic
wordpress robots txt,1,1,1300,38,1.11,https://docs.wpvip.com/security-controls/robots-txt/,171,2.74,189.00,0.33,1460000,"13, 5, 8, 10, 8, 16, 13, 44, 13, 100, 8, 29",2026-06-18,"Sitelinks, Reviews, Video, Video Carousel, Related searches, AI overview",informational,Organic
wp vip,1,1,210,31,25.61,https://wpvip.com/,168,2.7,4302.00,0.45,111,"12, 81, 15, 19, 23, 12, 36, 15, 10, 29, 12, 12",2026-06-17,"Sitelinks, Reviews, Video, Video Carousel, People also ask",navigational,Organic
wpvip,1,1,170,31,21.25,https://wpvip.com/,136,2.18,2890.00,0.4,150,"43, 43, 43, 53, 66, 53, 43, 43, 43, 43, 35, 35",2026-06-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
wordpress vip pricing,1,1,170,26,25.44,https://wpvip.com/pricing/,136,2.18,3459.00,0.45,107,"43, 28, 65, 53, 65, 65, 81, 12, 100, 53, 43, 53",2026-07-21,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",transactional,Organic
robots.txt wordpress,1,1,1000,34,2.53,https://docs.wpvip.com/security-controls/robots-txt/,132,2.12,333.00,0.33,79,"2, 1, 2, 2, 3, 22, 3, 29, 43, 22, 43, 100",2026-07-14,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sophi,1,1,2900,41,9.23,https://wpvip.com/partner/sophi/,118,1.89,1089.00,0.1,56,"66, 66, 80, 66, 66, 80, 80, 100, 80, 80, 66, 80",2026-07-21,"People also ask, Related searches, AI overview",informational,People also ask
wordpress vip agency,1,1,140,16,0.00,https://wpvip.com/partners/agency-partners/,112,1.8,0.00,0.09,132,"19, 19, 15, 42, 53, 65, 34, 42, 100, 80, 53, 65",2026-06-15,"Reviews, Video, People also ask, Related searches",navigational,Organic
vipplugin,8,8,3600,28,0.00,https://docs.wpvip.com/vip-go-mu-plugins/,86,1.38,0.00,0.33,67,"8, 20, 24, 0, 2, 7, 10, 2, 8, 4, 3, 3",2026-07-19,"Sitelinks, Reviews, Video, Related searches",informational,Organic
wordpress agencies,1,1,590,20,29.91,https://wpvip.com/partners/agency-partners/,77,1.23,2303.00,0.12,154,"13, 20, 20, 13, 8, 11, 13, 11, 100, 16, 13, 11",2026-06-22,"Sitelinks, Reviews, Video, Ads bottom, Related searches, AI overview",informational,Organic
wordpressvip,1,1,90,33,25.61,https://wpvip.com/,72,1.15,1843.00,0.45,159,"9, 6, 36, 15, 6, 19, 9, 5, 6, 19, 9, 6",2026-06-09,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
gutenberg wordpress,3,3,880,59,2.44,https://wpvip.com/wordpress-gutenberg/,57,0.91,139.00,0.21,109,"41, 41, 41, 24, 30, 36, 24, 36, 30, 36, 24, 24",2026-07-05,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
wordpres vip,1,1,70,26,28.09,https://wpvip.com/,56,0.9,1573.00,0.51,0,"0, 23, 0, 1, 1, 100, 0, 1, 1, 0, 1, 0",2026-07-17,"Sitelinks, People also ask, Related searches",navigational,Organic
wordpress enterprise,1,1,390,35,27.43,https://wpvip.com/,51,0.82,1398.00,0.28,104,"54, 54, 54, 44, 44, 44, 44, 66, 100, 66, 66, 81",2026-07-01,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
wordpress certification,1,1,390,18,2.86,https://learn.wpvip.com/certification/,51,0.82,145.00,0.3,104,"54, 44, 54, 66, 54, 54, 66, 54, 54, 36, 44, 36",2026-07-17,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
enterprise wordpress,2,2,390,22,27.43,https://wpvip.com/,51,0.82,1398.00,0.28,107,"35, 35, 66, 66, 66, 44, 100, 81, 100, 44, 81, 54",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
wordpress robots,1,1,590,31,0.00,https://docs.wpvip.com/security-controls/robots-txt/,48,0.77,0.00,0.33,106,"8, 1, 76, 67, 76, 36, 76, 100, 67, 36, 3, 6",2026-07-18,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
enterprise wordpress hosting,3,3,720,29,23.74,https://wpvip.com/wordpress-platform/,46,0.73,1092.00,0.2,164,"20, 30, 30, 67, 67, 67, 67, 55, 76, 100, 45, 45",2026-06-13,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
wordpress 6.7 release news,8,8,2400,28,0.00,https://wpvip.com/blog/wordpress-6-7/,45,0.72,0.00,0,129,"0, 13, 36, 100, 29, 1, 0, 0, 0",2026-07-21,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
enterprise wordpress hosting,1,1,720,29,23.74,https://wpvip.com/wordpress-platform/,43,0.69,1020.00,0.2,164,"20, 30, 30, 67, 67, 67, 67, 55, 76, 100, 45, 45",2026-06-13,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,AI overview
vip wordpress,1,1,50,22,28.09,https://wpvip.com/,40,0.64,1123.00,0.51,108,"9, 9, 12, 9, 6, 15, 12, 12, 12, 12, 12, 100",2026-07-19,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches","informational, navigational",Organic
